Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          0         
0          1          0         
0          2          0         
0          3          0         
0          4          0         
0          TotalExcRef 0         
9          0          8         
9          1          8         
9          2          8         
9          3          8         
9          4          8         
9          TotalExcRef 40        
12         0          8         
12         1          8         
12         2          8         
12         3          8         
12         4          8         
12         TotalExcRef 40        
15         0          1         
15         1          1         
15         2          1         
15         3          1         
15         4          1         
15         TotalExcRef 5         
16         0          8         
16         1          8         
16         2          8         
16         3          8         
16         4          8         
16         TotalExcRef 40        
42         0          17        
42         1          17        
42         2          17        
42         3          17        
42         4          17        
42         TotalExcRef 85        
47         0          272       
47         1          272       
47         2          272       
47         3          272       
47         4          272       
47         TotalExcRef 1360      
58         0          1792      
58         1          1792      
58         2          1792      
58         3          1792      
58         4          1792      
58         TotalExcRef 8960      
84         0          17        
84         1          17        
84         2          17        
84         3          17        
84         4          17        
84         TotalExcRef 85        
89         0          272       
89         1          272       
89         2          272       
89         3          272       
89         4          272       
89         TotalExcRef 1360      
97         0          1792      
97         1          1792      
97         2          1792      
97         3          1792      
97         4          1792      
97         TotalExcRef 8960      
112        0          15        
112        1          15        
112        2          15        
112        3          15        
112        4          15        
112        TotalExcRef 75        
117        0          238       
117        1          238       
117        2          238       
117        3          238       
117        4          238       
117        TotalExcRef 1190      
126        0          1568      
126        1          1568      
126        2          1568      
126        3          1568      
126        4          1568      
126        TotalExcRef 7840      
152        0          15        
152        1          15        
152        2          15        
152        3          15        
152        4          15        
152        TotalExcRef 75        
157        0          210       
157        1          210       
157        2          210       
157        3          210       
157        4          210       
157        TotalExcRef 1050      
204        0          196       
204        1          196       
204        2          196       
204        3          196       
204        4          196       
204        TotalExcRef 980       
205        0          86        
205        1          80        
205        2          18        
205        3          72        
205        4          80        
205        TotalExcRef 336       
206        0          23        
206        1          43        
206        2          16        
206        3          43        
206        4          40        
206        TotalExcRef 165       
207        0          11        
207        1          24        
207        2          8         
207        3          22        
207        4          20        
207        TotalExcRef 85        
208        0          23        
208        1          43        
208        2          16        
208        3          43        
208        4          40        
208        TotalExcRef 165       
209        0          63        
209        1          37        
209        2          2         
209        3          29        
209        4          40        
209        TotalExcRef 171       
210        0          24        
210        1          23        
210        2          1         
210        3          10        
210        4          22        
210        TotalExcRef 80        
211        0          63        
211        1          37        
211        2          2         
211        3          29        
211        4          40        
211        TotalExcRef 171       
212        0          86        
212        1          80        
212        2          18        
212        3          72        
212        4          80        
212        TotalExcRef 336       
213        0          110       
213        1          116       
213        2          178       
213        3          124       
213        4          116       
213        TotalExcRef 644       
214        0          92        
214        1          107       
214        2          174       
214        3          70        
214        4          87        
214        TotalExcRef 530       
215        0          39        
215        1          69        
215        2          88        
215        3          39        
215        4          54        
215        TotalExcRef 289       
216        0          92        
216        1          107       
216        2          174       
216        3          70        
216        4          87        
216        TotalExcRef 530       
217        0          18        
217        1          9         
217        2          4         
217        3          54        
217        4          29        
217        TotalExcRef 114       
218        0          13        
218        1          3         
218        2          1         
218        3          25        
218        4          14        
218        TotalExcRef 56        
219        0          18        
219        1          9         
219        2          4         
219        3          54        
219        4          29        
219        TotalExcRef 114       
220        0          110       
220        1          116       
220        2          178       
220        3          124       
220        4          116       
220        TotalExcRef 644       
221        0          196       
221        1          196       
221        2          196       
221        3          196       
221        4          196       
221        TotalExcRef 980       
223        0          44        
223        1          49        
223        2          32        
223        3          48        
223        4          54        
223        TotalExcRef 227       
230        0          44        
230        1          49        
230        2          32        
230        3          48        
230        4          54        
230        TotalExcRef 227       
240        0          44        
240        1          49        
240        2          32        
240        3          48        
240        4          54        
240        TotalExcRef 227       
248        0          44        
248        1          49        
248        2          32        
248        3          48        
248        4          54        
248        TotalExcRef 227       
258        0          44        
258        1          49        
258        2          32        
258        3          48        
258        4          54        
258        TotalExcRef 227       
270        0          111       
270        1          117       
270        2          67        
270        3          108       
270        4          138       
270        TotalExcRef 541       
275        0          362       
275        1          379       
275        2          220       
275        3          339       
275        4          442       
275        TotalExcRef 1742      
284        0          295       
284        1          311       
284        2          185       
284        3          279       
284        4          358       
284        TotalExcRef 1428      
287        0          103       
287        1          107       
287        2          62        
287        3          92        
287        4          121       
287        TotalExcRef 485       
288        0          295       
288        1          311       
288        2          185       
288        3          279       
288        4          358       
288        TotalExcRef 1428      
292        0          259       
292        1          273       
292        2          161       
292        3          248       
292        4          313       
292        TotalExcRef 1254      
293        0          295       
293        1          311       
293        2          185       
293        3          279       
293        4          358       
293        TotalExcRef 1428      
297        0          220       
297        1          224       
297        2          139       
297        3          200       
297        4          256       
297        TotalExcRef 1039      
298        0          295       
298        1          311       
298        2          185       
298        3          279       
298        4          358       
298        TotalExcRef 1428      
303        0          1         
303        1          1         
303        2          1         
303        3          1         
303        4          1         
303        TotalExcRef 5         
306        0          0         
306        1          0         
306        2          0         
306        3          0         
306        4          0         
306        TotalExcRef 0         
307        0          1         
307        1          1         
307        2          1         
307        3          1         
307        4          1         
307        TotalExcRef 5         
318        0          0         
318        1          0         
318        2          0         
318        3          0         
318        4          0         
318        TotalExcRef 0         
329        0          0         
329        1          0         
329        2          0         
329        3          0         
329        4          0         
329        TotalExcRef 0         
343        0          0         
343        1          0         
343        2          0         
343        3          0         
343        4          0         
343        TotalExcRef 0         
351        0          0         
351        1          0         
351        2          0         
351        3          0         
351        4          0         
351        TotalExcRef 0         
362        0          29        
362        1          29        
362        2          29        
362        3          29        
362        4          29        
362        TotalExcRef 145       
367        0          812       
367        1          812       
367        2          812       
367        3          812       
367        4          812       
367        TotalExcRef 4060      
372        0          784       
372        1          784       
372        2          784       
372        3          784       
372        4          784       
372        TotalExcRef 3920      
376        0          747       
376        1          745       
376        2          757       
376        3          743       
376        4          738       
376        TotalExcRef 3730      
377        0          784       
377        1          784       
377        2          784       
377        3          784       
377        4          784       
377        TotalExcRef 3920      
388        0          1         
388        1          1         
388        2          1         
388        3          1         
388        4          1         
388        TotalExcRef 5         
397        0          1         
397        1          1         
397        2          1         
397        3          1         
397        4          1         
397        TotalExcRef 5         
400        0          0         
400        1          0         
400        2          0         
400        3          0         
400        4          0         
400        TotalExcRef 0         
401        0          1         
401        1          1         
401        2          1         
401        3          1         
401        4          1         
401        TotalExcRef 5         
409        0          785       
409        1          785       
409        2          785       
409        3          785       
409        4          785       
409        TotalExcRef 3925      
433        0          0         
433        1          0         
433        2          0         
433        3          0         
433        4          0         
433        TotalExcRef 0         
441        0          0         
441        1          0         
441        2          0         
441        3          0         
441        4          0         
441        TotalExcRef 0         
450        0          0         
450        1          0         
450        2          0         
450        3          0         
450        4          0         
450        TotalExcRef 0         
458        0          0         
458        1          0         
458        2          0         
458        3          0         
458        4          0         
458        TotalExcRef 0         
469        0          0         
469        1          0         
469        2          0         
469        3          0         
469        4          0         
469        TotalExcRef 0         
478        0          0         
478        1          0         
478        2          0         
478        3          0         
478        4          0         
478        TotalExcRef 0         
497        0          0         
497        1          0         
497        2          0         
497        3          0         
497        4          0         
497        TotalExcRef 0         
498        0          0         
498        1          0         
498        2          0         
498        3          0         
498        4          0         
498        TotalExcRef 0         
501        0          0         
501        1          0         
501        2          0         
501        3          0         
501        4          0         
501        TotalExcRef 0         
503        0          0         
503        1          0         
503        2          0         
503        3          0         
503        4          0         
503        TotalExcRef 0         
504        0          0         
504        1          0         
504        2          0         
504        3          0         
504        4          0         
504        TotalExcRef 0         
