Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
1          0          22        
1          1          22        
1          2          22        
1          3          22        
1          4          22        
1          TotalExcRef 110       
2          0          0         
2          1          0         
2          2          0         
2          3          0         
2          4          0         
2          TotalExcRef 0         
3          0          784       
3          1          784       
3          2          784       
3          3          784       
3          4          784       
3          TotalExcRef 3920      
4          0          1         
4          1          1         
4          2          1         
4          3          1         
4          4          1         
4          TotalExcRef 5         
5          0          1         
5          1          1         
5          2          1         
5          3          1         
5          4          1         
5          TotalExcRef 5         
6          0          1         
6          1          1         
6          2          1         
6          3          1         
6          4          1         
6          TotalExcRef 5         
7          0          8         
7          1          8         
7          2          8         
7          3          8         
7          4          8         
7          TotalExcRef 40        
8          0          8         
8          1          8         
8          2          8         
8          3          8         
8          4          8         
8          TotalExcRef 40        
10         0          7         
10         1          7         
10         2          7         
10         3          7         
10         4          7         
10         TotalExcRef 35        
11         0          8         
11         1          8         
11         2          8         
11         3          8         
11         4          8         
11         TotalExcRef 40        
13         0          1         
13         1          1         
13         2          1         
13         3          1         
13         4          1         
13         TotalExcRef 5         
14         0          1         
14         1          1         
14         2          1         
14         3          1         
14         4          1         
14         TotalExcRef 5         
17         0          7         
17         1          7         
17         2          7         
17         3          7         
17         4          7         
17         TotalExcRef 35        
18         0          7         
18         1          7         
18         2          7         
18         3          7         
18         4          7         
18         TotalExcRef 35        
19         0          1         
19         1          1         
19         2          1         
19         3          1         
19         4          1         
19         TotalExcRef 5         
20         0          1         
20         1          1         
20         2          1         
20         3          1         
20         4          1         
20         TotalExcRef 5         
21         0          1         
21         1          1         
21         2          1         
21         3          1         
21         4          1         
21         TotalExcRef 5         
22         0          1         
22         1          1         
22         2          1         
22         3          1         
22         4          1         
22         TotalExcRef 5         
23         0          1         
23         1          1         
23         2          1         
23         3          1         
23         4          1         
23         TotalExcRef 5         
24         0          1         
24         1          1         
24         2          1         
24         3          1         
24         4          1         
24         TotalExcRef 5         
25         0          1         
25         1          1         
25         2          1         
25         3          1         
25         4          1         
25         TotalExcRef 5         
26         0          1         
26         1          1         
26         2          1         
26         3          1         
26         4          1         
26         TotalExcRef 5         
27         0          1         
27         1          1         
27         2          1         
27         3          1         
27         4          1         
27         TotalExcRef 5         
28         0          1         
28         1          1         
28         2          1         
28         3          1         
28         4          1         
