Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          0         
0          1          0         
0          2          0         
0          3          0         
0          4          0         
0          5          0         
0          6          0         
0          7          0         
0          8          0         
0          9          0         
0          TotalExcRef 0         
1          0          0         
1          1          0         
1          2          0         
1          3          0         
1          4          0         
1          5          0         
1          6          0         
1          7          0         
1          8          0         
1          9          0         
1          TotalExcRef 0         
5          0          0         
5          1          0         
5          2          0         
5          3          0         
5          4          0         
5          5          0         
5          6          0         
5          7          0         
5          8          0         
5          9          0         
5          TotalExcRef 0         
6          0          0         
6          1          0         
6          2          0         
6          3          0         
6          4          0         
6          5          0         
6          6          0         
6          7          0         
6          8          0         
6          9          0         
6          TotalExcRef 0         
7          0          100       
7          1          100       
7          2          100       
7          3          100       
7          4          100       
7          5          100       
7          6          100       
7          7          100       
7          8          100       
7          9          100       
7          TotalExcRef 1000      
8          0          100       
8          1          100       
8          2          100       
8          3          100       
8          4          100       
8          5          100       
8          6          100       
8          7          100       
8          8          100       
8          9          100       
8          TotalExcRef 1000      
9          0          100       
9          1          100       
9          2          100       
9          3          100       
9          4          100       
9          5          100       
9          6          100       
9          7          100       
9          8          100       
9          9          100       
9          TotalExcRef 1000      
10         0          100       
10         1          100       
10         2          100       
10         3          100       
10         4          100       
10         5          100       
10         6          100       
10         7          100       
10         8          100       
10         9          100       
10         TotalExcRef 1000      
11         0          100       
11         1          100       
11         2          100       
11         3          100       
11         4          100       
11         5          100       
11         6          100       
11         7          100       
11         8          100       
11         9          100       
11         TotalExcRef 1000      
12         0          100       
12         1          100       
12         2          100       
12         3          100       
12         4          100       
12         5          100       
12         6          100       
12         7          100       
12         8          100       
12         9          100       
12         TotalExcRef 1000      
13         0          100       
13         1          100       
13         2          100       
13         3          100       
13         4          100       
13         5          100       
13         6          100       
13         7          100       
13         8          100       
13         9          100       
13         TotalExcRef 1000      
14         0          100       
14         1          100       
14         2          100       
14         3          100       
14         4          100       
14         5          100       
14         6          100       
14         7          100       
14         8          100       
14         9          100       
14         TotalExcRef 1000      
15         0          100       
15         1          100       
15         2          100       
15         3          100       
15         4          100       
15         5          100       
15         6          100       
15         7          100       
15         8          100       
15         9          100       
15         TotalExcRef 1000      
16         0          100       
16         1          100       
16         2          100       
16         3          100       
16         4          100       
16         5          100       
16         6          100       
16         7          100       
16         8          100       
16         9          100       
16         TotalExcRef 1000      
17         0          100       
17         1          100       
17         2          100       
17         3          100       
17         4          100       
17         5          100       
17         6          100       
17         7          100       
17         8          100       
17         9          100       
17         TotalExcRef 1000      
18         0          100       
18         1          100       
18         2          100       
18         3          100       
18         4          100       
18         5          100       
18         6          100       
18         7          100       
18         8          100       
18         9          100       
18         TotalExcRef 1000      
19         0          100       
19         1          100       
19         2          100       
19         3          100       
19         4          100       
19         5          100       
19         6          100       
19         7          100       
19         8          100       
19         9          100       
19         TotalExcRef 1000      
20         0          100       
20         1          100       
20         2          100       
20         3          100       
20         4          100       
20         5          100       
20         6          100       
20         7          100       
20         8          100       
20         9          100       
20         TotalExcRef 1000      
21         0          100       
21         1          100       
21         2          100       
21         3          100       
21         4          100       
21         5          100       
21         6          100       
21         7          100       
21         8          100       
21         9          100       
21         TotalExcRef 1000      
22         0          100       
22         1          100       
22         2          100       
22         3          100       
22         4          100       
22         5          100       
22         6          100       
22         7          100       
22         8          100       
22         9          100       
22         TotalExcRef 1000      
23         0          100       
23         1          100       
23         2          100       
23         3          100       
23         4          100       
23         5          100       
23         6          100       
23         7          100       
23         8          100       
23         9          100       
23         TotalExcRef 1000      
24         0          100       
24         1          100       
24         2          100       
24         3          100       
24         4          100       
24         5          100       
24         6          100       
24         7          100       
24         8          100       
24         9          100       
24         TotalExcRef 1000      
25         0          100       
25         1          100       
25         2          100       
25         3          100       
25         4          100       
25         5          100       
25         6          100       
25         7          100       
25         8          100       
25         9          100       
25         TotalExcRef 1000      
26         0          100       
26         1          100       
26         2          100       
26         3          100       
26         4          100       
26         5          100       
26         6          100       
26         7          100       
26         8          100       
26         9          100       
26         TotalExcRef 1000      
27         0          100       
27         1          100       
27         2          100       
27         3          100       
27         4          100       
27         5          100       
27         6          100       
27         7          100       
27         8          100       
27         9          100       
27         TotalExcRef 1000      
28         0          100       
28         1          100       
28         2          100       
28         3          100       
28         4          100       
28         5          100       
28         6          100       
28         7          100       
28         8          100       
28         9          100       
28         TotalExcRef 1000      
29         0          100       
29         1          100       
29         2          100       
29         3          100       
29         4          100       
29         5          100       
29         6          100       
29         7          100       
29         8          100       
29         9          100       
29         TotalExcRef 1000      
30         0          100       
30         1          100       
30         2          100       
30         3          100       
30         4          100       
30         5          100       
30         6          100       
30         7          100       
30         8          100       
30         9          100       
30         TotalExcRef 1000      
31         0          100       
31         1          100       
31         2          100       
31         3          100       
31         4          100       
31         5          100       
31         6          100       
31         7          100       
31         8          100       
31         9          100       
31         TotalExcRef 1000      
34         0          1         
34         1          1         
34         2          1         
34         3          1         
34         4          1         
34         5          1         
34         6          1         
34         7          1         
34         8          1         
34         9          1         
34         TotalExcRef 10        
35         0          1         
35         1          1         
35         2          1         
35         3          1         
35         4          1         
35         5          1         
35         6          1         
35         7          1         
35         8          1         
35         9          1         
35         TotalExcRef 10        
36         0          1         
36         1          1         
36         2          1         
36         3          1         
36         4          1         
36         5          1         
36         6          1         
36         7          1         
36         8          1         
36         9          1         
36         TotalExcRef 10        
37         0          1         
37         1          1         
37         2          1         
37         3          1         
37         4          1         
37         5          1         
37         6          1         
37         7          1         
37         8          1         
37         9          1         
37         TotalExcRef 10        
38         0          1         
38         1          1         
38         2          1         
38         3          1         
38         4          1         
38         5          1         
38         6          1         
38         7          1         
38         8          1         
38         9          1         
38         TotalExcRef 10        
39         0          1         
39         1          1         
39         2          1         
39         3          1         
39         4          1         
39         5          1         
39         6          1         
39         7          1         
39         8          1         
39         9          1         
39         TotalExcRef 10        
40         0          1         
40         1          1         
40         2          1         
40         3          1         
40         4          1         
40         5          1         
40         6          1         
40         7          1         
40         8          1         
40         9          1         
40         TotalExcRef 10        
41         0          1         
41         1          1         
41         2          1         
41         3          1         
41         4          1         
41         5          1         
41         6          1         
41         7          1         
41         8          1         
41         9          1         
41         TotalExcRef 10        
42         0          1         
42         1          1         
42         2          1         
42         3          1         
42         4          1         
42         5          1         
42         6          1         
42         7          1         
42         8          1         
42         9          1         
42         TotalExcRef 10        
43         0          1         
43         1          1         
43         2          1         
43         3          1         
43         4          1         
43         5          1         
43         6          1         
43         7          1         
43         8          1         
43         9          1         
43         TotalExcRef 10        
44         0          1         
44         1          1         
44         2          1         
44         3          1         
44         4          1         
44         5          1         
44         6          1         
44         7          1         
44         8          1         
44         9          1         
44         TotalExcRef 10        
45         0          1         
45         1          1         
45         2          1         
45         3          1         
45         4          1         
45         5          1         
45         6          1         
45         7          1         
45         8          1         
45         9          1         
45         TotalExcRef 10        
46         0          1         
46         1          1         
46         2          1         
46         3          1         
46         4          1         
46         5          1         
46         6          1         
46         7          1         
46         8          1         
46         9          1         
46         TotalExcRef 10        
47         0          1         
47         1          1         
47         2          1         
47         3          1         
47         4          1         
47         5          1         
47         6          1         
47         7          1         
47         8          1         
47         9          1         
47         TotalExcRef 10        
48         0          1         
48         1          1         
48         2          1         
48         3          1         
48         4          1         
48         5          1         
48         6          1         
48         7          1         
48         8          1         
48         9          1         
48         TotalExcRef 10        
