Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
3          0          1         
3          1          11        
3          2          1         
3          3          1         
3          4          4         
3          5          16        
3          6          1         
3          7          20        
3          8          1         
3          9          0         
3          10         16        
3          11         1         
3          12         32        
3          13         1         
3          14         1         
3          15         22        
3          16         21        
3          17         1         
3          18         1         
3          19         1         
3          20         1         
3          21         41        
3          22         1         
3          23         35        
3          24         18        
3          TotalExcRef 249       
12         0          1         
12         1          7         
12         2          1         
12         3          1         
12         4          3         
12         5          11        
12         6          1         
12         7          14        
12         8          1         
12         9          0         
12         10         9         
12         11         1         
12         12         17        
12         13         1         
12         14         1         
12         15         13        
12         16         15        
12         17         1         
12         18         1         
12         19         1         
12         20         1         
12         21         24        
12         22         1         
12         23         21        
12         24         12        
12         TotalExcRef 159       
15         0          0         
15         1          6         
15         2          0         
15         3          0         
15         4          2         
15         5          10        
15         6          0         
15         7          13        
15         8          0         
15         9          0         
15         10         8         
15         11         0         
15         12         16        
15         13         0         
15         14         0         
15         15         12        
15         16         14        
15         17         0         
15         18         0         
15         19         0         
15         20         0         
15         21         23        
15         22         0         
15         23         20        
15         24         11        
15         TotalExcRef 135       
16         0          1         
16         1          7         
16         2          1         
16         3          1         
16         4          3         
16         5          11        
16         6          1         
16         7          14        
16         8          1         
16         9          0         
16         10         9         
16         11         1         
16         12         17        
16         13         1         
16         14         1         
16         15         13        
16         16         15        
16         17         1         
16         18         1         
16         19         1         
16         20         1         
16         21         24        
16         22         1         
16         23         21        
16         24         12        
16         TotalExcRef 159       
17         0          0         
17         1          4         
17         2          0         
17         3          0         
17         4          1         
17         5          5         
17         6          0         
17         7          6         
17         8          0         
17         9          0         
17         10         7         
17         11         0         
17         12         15        
17         13         0         
17         14         0         
17         15         9         
17         16         6         
17         17         0         
17         18         0         
17         19         0         
17         20         0         
17         21         17        
17         22         0         
17         23         14        
17         24         6         
17         TotalExcRef 90        
18         0          0         
18         1          1         
18         2          0         
18         3          0         
18         4          1         
18         5          1         
18         6          0         
18         7          1         
18         8          0         
18         9          0         
18         10         1         
18         11         0         
18         12         1         
18         13         0         
18         14         0         
18         15         1         
18         16         1         
18         17         0         
18         18         0         
18         19         0         
18         20         0         
18         21         1         
18         22         0         
18         23         1         
18         24         1         
18         TotalExcRef 11        
24         0          0         
24         1          1         
24         2          0         
24         3          0         
24         4          1         
24         5          1         
24         6          0         
24         7          1         
24         8          0         
24         9          0         
24         10         1         
24         11         0         
24         12         1         
24         13         0         
24         14         0         
24         15         1         
24         16         1         
24         17         0         
24         18         0         
24         19         0         
24         20         0         
24         21         1         
24         22         0         
24         23         1         
24         24         1         
24         TotalExcRef 11        
31         0          0         
31         1          51        
31         2          0         
31         3          0         
31         4          51        
31         5          51        
31         6          0         
31         7          51        
31         8          0         
31         9          0         
31         10         51        
31         11         0         
31         12         51        
31         13         0         
31         14         0         
31         15         51        
31         16         51        
31         17         0         
31         18         0         
31         19         0         
31         20         0         
