aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
NEGB : negation of boolean value.
25 polynomial of 50 degrees
generated with 23 as seed
25 perturbation points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
3          234        13         2          6415               25,76              249            1,00                     249        249        9.96              25         ------------------- 93,98  
12         9          148        2          1371               8,62               159            1,00                     159        159        6.36              25         -- 5,66                    
15         0          135        0          1077               7,98               135            1,00                     135        135        5.4               25          0,00                      
16         9          148        2          1371               8,62               159            1,00                     159        159        6.36              25         -- 5,66                    
17         8          82         0          540                6,00               90             1,00                     90         90         3.6               25         -- 8,89                    
18         0          0          11         11                 1,00               11             1,00                     11         11         0.44              25          0,00                      
24         0          0          11         11                 1,00               11             1,00                     11         11         0.44              25          0,00                      
31         0          0          561        14586              26,00              561            1,00                     561        561        22.44             25          0,00                      
39         314        0          236        14025              25,50              550            1,00                     550        550        22.0              25         ------------ 57,09         
60         5533       7822       659        17344350           1237,64            14014          1,00                     14014      14014      560.56            25         -------- 39,48             
65         0          0          563        14038              24,93              563            1,00                     563        563        22.52             25          0,00                      
71         0          0          563        14038              24,93              563            1,00                     563        563        22.52             25          0,00                      
89         108118     1085       6118       1183792553         10265,20           115321         1,00                     115321     115321     4612.84           25         ------------------- 93,75  
101        2746       1347       44         1514463            366,08             4137           1,00                     4137       4137       165.48            25         -------------- 66,38       
104        2201       1342       46         1149221            320,21             3589           1,00                     3589       3589       143.56            25         ------------- 61,33        
107        3523       50         1          1141070            319,27             3574           1,00                     3574       3574       142.96            25         -------------------- 98,57 
110        3559       15         0          1136470            317,98             3574           1,00                     3574       3574       142.96            25         -------------------- 99,58 
127        0          25         0          25                 1,00               25             1,00                     25         25         1.0               25          0,00                      
134        0          25         0          25                 1,00               25             1,00                     25         25         1.0               25          0,00                      
140        10         4          11         25                 1,00               25             1,00                     25         25         1.0               25         -------- 40,00             
151        0          14         0          14                 1,00               14             1,00                     14         14         0.56              25          0,00                      
157        1          0          13         14                 1,00               14             1,00                     14         14         0.56              25         -- 7,14                    
175        9          13         2          24                 1,00               24             1,00                     24         24         0.96              25         -------- 37,50             
181        0          225        0          2996               13,32              225            1,00                     225        225        9.0               25          0,00                      
186        8          217        0          3287               14,61              225            1,00                     225        225        9.0               25         - 3,56                     
