Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
5          0          1         
5          1          1         
5          2          1         
5          3          0         
5          4          1         
5          5          1         
5          6          1         
5          7          1         
5          8          1         
5          9          1         
5          10         1         
5          11         0         
5          12         1         
5          13         1         
5          14         1         
5          15         1         
5          16         1         
5          17         1         
5          18         1         
5          19         1         
5          TotalExcRef 18        
7          0          1         
7          1          1         
7          2          0         
7          3          0         
7          4          0         
7          5          0         
7          6          0         
7          7          1         
7          8          1         
7          9          0         
7          10         1         
7          11         0         
7          12         0         
7          13         0         
7          14         1         
7          15         1         
7          16         1         
7          17         1         
7          18         1         
7          19         0         
7          TotalExcRef 10        
8          0          2         
8          1          4         
8          2          0         
8          3          0         
8          4          0         
8          5          0         
8          6          0         
8          7          3         
8          8          67        
8          9          0         
8          10         93        
8          11         0         
8          12         0         
8          13         0         
8          14         78        
8          15         2         
8          16         58        
8          17         71        
8          18         46        
8          19         0         
8          TotalExcRef 424       
9          0          2         
9          1          4         
9          2          0         
9          3          0         
9          4          0         
9          5          0         
9          6          0         
9          7          3         
9          8          67        
9          9          0         
9          10         93        
9          11         0         
9          12         0         
9          13         0         
9          14         78        
9          15         2         
9          16         58        
9          17         71        
9          18         46        
9          19         0         
9          TotalExcRef 424       
11         0          1         
11         1          3         
11         2          0         
11         3          0         
11         4          0         
11         5          0         
11         6          0         
11         7          2         
11         8          66        
11         9          0         
11         10         92        
11         11         0         
11         12         0         
11         13         0         
11         14         77        
11         15         1         
11         16         57        
11         17         70        
11         18         45        
11         19         0         
11         TotalExcRef 414       
12         0          2         
12         1          4         
12         2          0         
12         3          0         
12         4          0         
12         5          0         
12         6          0         
12         7          3         
12         8          67        
12         9          0         
12         10         93        
12         11         0         
12         12         0         
12         13         0         
12         14         78        
12         15         2         
12         16         58        
12         17         71        
12         18         46        
12         19         0         
12         TotalExcRef 424       
14         0          1         
14         1          1         
14         2          0         
14         3          0         
14         4          0         
14         5          0         
14         6          0         
14         7          1         
14         8          1         
14         9          0         
14         10         1         
14         11         0         
14         12         0         
14         13         0         
14         14         1         
14         15         1         
14         16         1         
14         17         1         
14         18         1         
14         19         0         
14         TotalExcRef 10        
15         0          0         
15         1          0         
15         2          0         
15         3          0         
15         4          0         
15         5          0         
15         6          0         
15         7          0         
15         8          0         
15         9          0         
15         10         0         
15         11         0         
15         12         0         
15         13         0         
15         14         0         
15         15         0         
15         16         0         
15         17         0         
15         18         0         
15         19         0         
15         TotalExcRef 0         
16         0          0         
16         1          0         
16         2          0         
16         3          0         
16         4          0         
16         5          0         
16         6          0         
16         7          0         
16         8          0         
16         9          0         
16         10         0         
16         11         0         
16         12         0         
16         13         0         
16         14         0         
16         15         0         
16         16         0         
16         17         0         
16         18         0         
16         19         0         
16         TotalExcRef 0         
17         0          0         
17         1          0         
17         2          0         
17         3          0         
17         4          0         
17         5          0         
17         6          0         
17         7          0         
17         8          0         
17         9          0         
17         10         0         
17         11         0         
17         12         0         
17         13         0         
17         14         0         
17         15         0         
17         16         0         
17         17         0         
17         18         0         
17         19         0         
17         TotalExcRef 0         
18         0          0         
18         1          0         
18         2          0         
18         3          0         
18         4          0         
18         5          0         
18         6          0         
18         7          0         
18         8          0         
18         9          0         
18         10         0         
18         11         0         
18         12         0         
18         13         0         
18         14         0         
18         15         0         
18         16         0         
18         17         0         
18         18         0         
18         19         0         
18         TotalExcRef 0         
25         0          1         
25         1          1         
25         2          0         
25         3          0         
25         4          0         
25         5          0         
25         6          0         
25         7          1         
25         8          1         
25         9          0         
25         10         1         
25         11         0         
25         12         0         
25         13         0         
25         14         1         
25         15         1         
25         16         1         
25         17         1         
25         18         1         
25         19         0         
25         TotalExcRef 10        
26         0          1         
26         1          1         
26         2          0         
26         3          0         
26         4          0         
26         5          0         
26         6          0         
26         7          1         
26         8          1         
26         9          0         
26         10         1         
26         11         0         
26         12         0         
26         13         0         
26         14         1         
26         15         1         
26         16         1         
26         17         1         
26         18         1         
26         19         0         
26         TotalExcRef 10        
27         0          1         
27         1          1         
27         2          0         
27         3          0         
27         4          0         
27         5          0         
27         6          0         
27         7          1         
27         8          1         
27         9          0         
27         10         1         
27         11         0         
27         12         0         
27         13         0         
27         14         1         
27         15         1         
27         16         1         
27         17         1         
27         18         1         
27         19         0         
27         TotalExcRef 10        
28         0          1         
28         1          1         
28         2          0         
28         3          0         
28         4          0         
28         5          0         
28         6          0         
28         7          1         
28         8          1         
28         9          0         
28         10         1         
28         11         0         
28         12         0         
28         13         0         
28         14         1         
28         15         1         
28         16         1         
28         17         1         
28         18         1         
28         19         0         
28         TotalExcRef 10        
29         0          1         
29         1          1         
29         2          0         
29         3          0         
29         4          0         
29         5          0         
29         6          0         
29         7          1         
29         8          1         
29         9          0         
29         10         1         
29         11         0         
29         12         0         
29         13         0         
29         14         1         
29         15         1         
29         16         1         
29         17         1         
29         18         1         
29         19         0         
29         TotalExcRef 10        
31         0          1         
31         1          1         
31         2          0         
31         3          0         
31         4          0         
31         5          0         
31         6          0         
31         7          1         
31         8          1         
31         9          0         
31         10         1         
31         11         0         
31         12         0         
31         13         0         
31         14         1         
31         15         1         
31         16         1         
31         17         1         
31         18         1         
31         19         0         
31         TotalExcRef 10        
32         0          1         
32         1          1         
32         2          0         
32         3          0         
32         4          0         
32         5          0         
32         6          0         
32         7          1         
32         8          1         
32         9          0         
32         10         1         
32         11         0         
32         12         0         
32         13         0         
32         14         1         
32         15         1         
32         16         1         
32         17         1         
32         18         1         
32         19         0         
32         TotalExcRef 10        
33         0          1         
33         1          1         
33         2          0         
33         3          0         
33         4          0         
33         5          0         
33         6          0         
33         7          1         
33         8          1         
33         9          0         
33         10         1         
33         11         0         
33         12         0         
33         13         0         
33         14         1         
33         15         1         
33         16         1         
33         17         1         
33         18         1         
33         19         0         
33         TotalExcRef 10        
34         0          1         
34         1          1         
34         2          0         
34         3          0         
34         4          0         
34         5          0         
34         6          0         
34         7          1         
34         8          1         
34         9          0         
34         10         1         
34         11         0         
34         12         0         
34         13         0         
34         14         1         
34         15         1         
34         16         1         
34         17         1         
34         18         1         
34         19         0         
34         TotalExcRef 10        
35         0          101       
35         1          101       
35         2          0         
35         3          0         
35         4          0         
35         5          0         
35         6          0         
35         7          101       
35         8          101       
35         9          0         
35         10         101       
35         11         0         
35         12         0         
35         13         0         
35         14         101       
35         15         101       
35         16         101       
35         17         101       
35         18         101       
35         19         0         
35         TotalExcRef 1010      
36         0          101       
36         1          101       
36         2          0         
36         3          0         
36         4          0         
36         5          0         
36         6          0         
36         7          101       
36         8          101       
36         9          0         
36         10         101       
36         11         0         
36         12         0         
36         13         0         
36         14         101       
36         15         101       
36         16         101       
36         17         101       
36         18         101       
36         19         0         
36         TotalExcRef 1010      
38         0          100       
38         1          100       
38         2          0         
38         3          0         
38         4          0         
38         5          0         
38         6          0         
38         7          100       
38         8          100       
38         9          0         
38         10         100       
38         11         0         
38         12         0         
38         13         0         
38         14         100       
38         15         100       
38         16         100       
38         17         100       
38         18         100       
38         19         0         
38         TotalExcRef 1000      
39         0          100       
39         1          100       
39         2          0         
39         3          0         
39         4          0         
39         5          0         
39         6          0         
39         7          100       
39         8          100       
39         9          0         
39         10         100       
39         11         0         
39         12         0         
39         13         0         
39         14         100       
39         15         100       
39         16         100       
39         17         100       
39         18         100       
39         19         0         
39         TotalExcRef 1000      
40         0          100       
40         1          100       
40         2          0         
40         3          0         
40         4          0         
40         5          0         
40         6          0         
40         7          100       
40         8          100       
40         9          0         
40         10         100       
40         11         0         
40         12         0         
40         13         0         
40         14         100       
40         15         100       
40         16         100       
40         17         100       
40         18         100       
40         19         0         
40         TotalExcRef 1000      
41         0          1         
41         1          1         
41         2          0         
41         3          0         
41         4          0         
41         5          0         
41         6          0         
41         7          1         
41         8          1         
41         9          0         
41         10         1         
41         11         0         
41         12         0         
41         13         0         
41         14         1         
41         15         1         
41         16         1         
41         17         1         
41         18         1         
41         19         0         
41         TotalExcRef 10        
42         0          1         
42         1          1         
42         2          0         
42         3          0         
42         4          0         
42         5          0         
42         6          0         
42         7          1         
42         8          1         
42         9          0         
42         10         1         
42         11         0         
42         12         0         
42         13         0         
42         14         1         
42         15         1         
42         16         1         
42         17         1         
42         18         1         
42         19         0         
42         TotalExcRef 10        
43         0          100       
43         1          100       
43         2          0         
43         3          0         
43         4          0         
43         5          0         
43         6          0         
43         7          100       
43         8          100       
43         9          0         
43         10         100       
43         11         0         
43         12         0         
43         13         0         
43         14         100       
43         15         100       
43         16         100       
43         17         100       
43         18         100       
43         19         0         
43         TotalExcRef 1000      
44         0          100       
44         1          100       
44         2          0         
44         3          0         
44         4          0         
44         5          0         
44         6          0         
44         7          100       
44         8          100       
44         9          0         
44         10         100       
44         11         0         
44         12         0         
44         13         0         
44         14         100       
44         15         100       
44         16         100       
44         17         100       
44         18         100       
44         19         0         
44         TotalExcRef 1000      
46         0          99        
46         1          99        
46         2          0         
46         3          0         
46         4          0         
46         5          0         
46         6          0         
46         7          99        
46         8          99        
46         9          0         
46         10         99        
46         11         0         
46         12         0         
46         13         0         
46         14         99        
