Contains data to explore the size of task required for saturation
Size Task Exploration (STE)
Size Task : 5 10 20 50 100 
176 perturbation point
N Execution Enactor
PONE : Numerical Perturbator
One task of different size
Seed used for generate task is 23
#Tasks     IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   %Success                   
5          0          19         0          0          50                 2,63               19             1,00                     0          19         -------------------- 100,00
10         0          51         1          0          225                4,33               52             1,00                     0          52         -------------------- 98,08 
20         0          85         2          0          848                9,75               87             1,00                     0          87         -------------------- 97,70 
50         0          147        6          0          3057               19,98              153            1,00                     0          153        -------------------- 96,08 
100        0          312        195        0          40212              79,31              507            1,00                     0          507        ------------- 61,54        
5          1          16         3          0          55                 2,89               19             1,00                     0          19         ----------------- 84,21    
10         1          51         1          0          213                4,10               52             1,00                     0          52         -------------------- 98,08 
20         1          84         3          0          856                9,84               87             1,00                     0          87         -------------------- 96,55 
50         1          146        7          0          3065               20,03              153            1,00                     0          153        -------------------- 95,42 
100        1          310        196        1          40278              79,44              507            1,00                     0          507        ------------- 61,14        
5          2          19         0          0          43                 2,26               19             1,00                     0          19         -------------------- 100,00
10         2          52         0          0          216                4,15               52             1,00                     0          52         -------------------- 100,00
20         2          87         0          0          820                9,43               87             1,00                     0          87         -------------------- 100,00
50         2          148        5          0          2928               19,14              153            1,00                     0          153        -------------------- 96,73 
100        2          313        194        0          40056              79,01              507            1,00                     0          507        ------------- 61,74        
5          4          10         5          0          24                 1,60               15             1,00                     0          15         -------------- 66,67       
10         4          20         18         0          77                 2,03               38             1,00                     0          38         ----------- 52,63          
20         4          20         45         0          232                3,57               65             1,00                     0          65         ------- 30,77              
50         4          14         86         0          625                6,25               100            1,00                     0          100        --- 14,00                  
100        4          16         264        0          5781               20,65              280            1,00                     0          280        -- 5,71                    
5          5          15         0          0          33                 2,20               15             1,00                     0          15         -------------------- 100,00
10         5          38         0          0          116                3,05               38             1,00                     0          38         -------------------- 100,00
20         5          65         0          0          399                6,14               65             1,00                     0          65         -------------------- 100,00
50         5          95         5          0          1150               11,50              100            1,00                     0          100        ------------------- 95,00  
100        5          178        102        0          11282              40,29              280            1,00                     0          280        ------------- 63,57        
5          6          12         3          0          27                 1,80               15             1,00                     0          15         ---------------- 80,00     
10         6          24         14         0          90                 2,37               38             1,00                     0          38         ------------- 63,16        
20         6          30         35         0          265                4,08               65             1,00                     0          65         ---------- 46,15           
50         6          17         83         0          636                6,36               100            1,00                     0          100        ---- 17,00                 
100        6          30         250        0          6309               22,53              280            1,00                     0          280        --- 10,71                  
5          7          12         3          0          27                 1,80               15             1,00                     0          15         ---------------- 80,00     
10         7          24         14         0          90                 2,37               38             1,00                     0          38         ------------- 63,16        
20         7          30         35         0          265                4,08               65             1,00                     0          65         ---------- 46,15           
50         7          17         83         0          636                6,36               100            1,00                     0          100        ---- 17,00                 
100        7          30         250        0          6309               22,53              280            1,00                     0          280        --- 10,71                  
5          8          12         3          0          27                 1,80               15             1,00                     0          15         ---------------- 80,00     
10         8          24         14         0          90                 2,37               38             1,00                     0          38         ------------- 63,16        
20         8          30         35         0          265                4,08               65             1,00                     0          65         ---------- 46,15           
50         8          17         83         0          636                6,36               100            1,00                     0          100        ---- 17,00                 
100        8          30         250        0          6309               22,53              280            1,00                     0          280        --- 10,71                  
5          9          11         4          0          40                 2,67               15             1,00                     0          15         --------------- 73,33      
10         9          29         9          0          146                3,84               38             1,00                     0          38         ---------------- 76,32     
20         9          56         9          0          449                6,91               65             1,00                     0          65         ------------------ 86,15   
50         9          88         10         2          1262               12,62              100            1,00                     0          100        ------------------ 88,00   
100        9          171        107        2          11448              40,89              280            1,00                     0          280        ------------- 61,07        
5          10         11         4          0          40                 2,67               15             1,00                     0          15         --------------- 73,33      
10         10         29         9          0          146                3,84               38             1,00                     0          38         ---------------- 76,32     
20         10         56         9          0          449                6,91               65             1,00                     0          65         ------------------ 86,15   
50         10         88         10         2          1262               12,62              100            1,00                     0          100        ------------------ 88,00   
100        10         171        107        2          11448              40,89              280            1,00                     0          280        ------------- 61,07        
5          11         12         3          0          27                 1,80               15             1,00                     0          15         ---------------- 80,00     
10         11         24         14         0          90                 2,37               38             1,00                     0          38         ------------- 63,16        
20         11         30         35         0          265                4,08               65             1,00                     0          65         ---------- 46,15           
50         11         17         83         0          636                6,36               100            1,00                     0          100        ---- 17,00                 
100        11         30         250        0          6309               22,53              280            1,00                     0          280        --- 10,71                  
5          13         5          0          0          13                 2,60               5              1,00                     0          5          -------------------- 100,00
10         13         18         0          0          60                 3,33               18             1,00                     0          18         -------------------- 100,00
20         13         45         0          0          289                6,42               45             1,00                     0          45         -------------------- 100,00
50         13         81         0          0          969                11,96              81             1,00                     0          81         -------------------- 100,00
100        13         162        99         0          10841              41,54              261            1,00                     0          261        ------------- 62,07        
5          14         5          0          0          13                 2,60               5              1,00                     0          5          -------------------- 100,00
10         14         12         6          0          55                 3,06               18             1,00                     0          18         -------------- 66,67       
20         14         21         24         0          214                4,76               45             1,00                     0          45         ---------- 46,67           
50         14         22         59         0          637                7,86               81             1,00                     0          81         ------ 27,16               
100        14         62         199        0          8160               31,26              261            1,00                     0          261        ----- 23,75                
5          19         0          0          4          4                  1,00               4              1,00                     0          4           0,00                      
10         19         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
20         19         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
50         19         0          0          8          8                  1,00               8              1,00                     0          8           0,00                      
100        19         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
5          20         0          4          0          4                  1,00               4              1,00                     0          4           0,00                      
10         20         0          9          0          9                  1,00               9              1,00                     0          9           0,00                      
20         20         0          9          0          9                  1,00               9              1,00                     0          9           0,00                      
50         20         1          7          0          8                  1,00               8              1,00                     0          8          --- 12,50                  
100        20         0          5          4          9                  1,00               9              1,00                     0          9           0,00                      
5          21         0          0          4          4                  1,00               4              1,00                     0          4           0,00                      
10         21         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
20         21         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
50         21         0          0          8          8                  1,00               8              1,00                     0          8           0,00                      
100        21         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
5          22         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         22         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         22         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         22         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        22         7          2          0          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          23         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         23         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         23         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         23         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        23         7          2          0          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          25         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         25         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         25         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         25         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        25         7          2          0          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          26         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         26         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         26         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         26         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        26         7          2          0          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          27         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         27         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         27         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         27         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        27         7          2          0          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          28         0          0          4          4                  1,00               4              1,00                     0          4           0,00                      
10         28         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
20         28         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
50         28         0          0          8          8                  1,00               8              1,00                     0          8           0,00                      
100        28         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
5          29         20         0          4          140                5,83               24             1,00                     0          24         ----------------- 83,33    
10         29         90         0          9          1080               10,91              99             1,00                     0          99         ------------------- 90,91  
20         29         180        0          9          3960               20,95              189            1,00                     0          189        -------------------- 95,24 
50         29         400        0          8          20800              50,98              408            1,00                     0          408        -------------------- 98,04 
100        29         700        200        9          91800              100,99             909            1,00                     0          909        ---------------- 77,01     
5          30         20         0          4          144                6,00               24             1,00                     0          24         ----------------- 83,33    
10         30         90         0          9          1089               11,00              99             1,00                     0          99         ------------------- 90,91  
20         30         180        0          9          3969               21,00              189            1,00                     0          189        -------------------- 95,24 
50         30         400        0          8          20808              51,00              408            1,00                     0          408        -------------------- 98,04 
100        30         700        200        9          91809              101,00             909            1,00                     0          909        ---------------- 77,01     
5          32         0          0          20         100                5,00               20             1,00                     0          20          0,00                      
10         32         0          0          90         900                10,00              90             1,00                     0          90          0,00                      
20         32         0          0          180        3600               20,00              180            1,00                     0          180         0,00                      
50         32         0          0          400        20000              50,00              400            1,00                     0          400         0,00                      
100        32         0          0          900        90000              100,00             900            1,00                     0          900         0,00                      
5          33         0          16         4          100                5,00               20             1,00                     0          20          0,00                      
10         33         0          81         9          900                10,00              90             1,00                     0          90          0,00                      
20         33         7          164        9          3600               20,00              180            1,00                     0          180        - 3,89                     
50         33         8          384        8          20000              50,00              400            1,00                     0          400        - 2,00                     
100        33         62         814        24         90000              100,00             900            1,00                     0          900        -- 6,89                    
5          34         4          0          0          4                  1,00               4              1,00                     0          4          -------------------- 100,00
10         34         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
20         34         9          0          0          9                  1,00               9              1,00                     0          9          -------------------- 100,00
50         34         8          0          0          8                  1,00               8              1,00                     0          8          -------------------- 100,00
100        34         7          1          1          9                  1,00               9              1,00                     0          9          ---------------- 77,78     
5          35         0          0          4          4                  1,00               4              1,00                     0          4           0,00                      
10         35         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
20         35         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
50         35         0          0          8          8                  1,00               8              1,00                     0          8           0,00                      
100        35         0          0          9          9                  1,00               9              1,00                     0          9           0,00                      
5          36         20         0          0          96                 4,80               20             1,00                     0          20         -------------------- 100,00
10         36         90         0          0          891                9,90               90             1,00                     0          90         -------------------- 100,00
20         36         180        0          0          3591               19,95              180            1,00                     0          180        -------------------- 100,00
50         36         400        0          0          19992              49,98              400            1,00                     0          400        -------------------- 100,00
100        36         700        199        1          89991              99,99              900            1,00                     0          900        ---------------- 77,78     
5          37         16         0          4          100                5,00               20             1,00                     0          20         ---------------- 80,00     
10         37         81         0          9          900                10,00              90             1,00                     0          90         ------------------ 90,00   
20         37         171        0          9          3600               20,00              180            1,00                     0          180        ------------------- 95,00  
50         37         392        0          8          20000              50,00              400            1,00                     0          400        -------------------- 98,00 
100        37         693        198        9          90000              100,00             900            1,00                     0          900        ---------------- 77,00     
5          39         7          5          4          52                 3,25               16             1,00                     0          16         --------- 43,75            
10         39         49         23         9          657                8,11               81             1,00                     0          81         ------------- 60,49        
20         39         104        58         9          3087               18,05              171            1,00                     0          171        ------------- 60,82        
50         39         238        46         108        15375              39,22              392            1,00                     0          392        ------------- 60,71        
100        39         248        171        472        58722              65,91              891            1,00                     0          891        ------ 27,83               
