Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
9          0          21        
9          1          21        
9          2          21        
9          3          21        
9          4          21        
9          5          21        
9          6          21        
9          7          21        
9          8          21        
9          9          21        
9          10         21        
9          11         21        
9          12         21        
9          13         21        
9          14         21        
9          15         21        
9          16         21        
9          17         21        
9          18         21        
9          19         21        
9          20         21        
9          21         21        
9          22         21        
9          23         21        
9          24         21        
9          TotalExcRef 525       
14         0          1220      
14         1          420       
14         2          1220      
14         3          460       
14         4          1220      
14         5          420       
14         6          1220      
14         7          440       
14         8          1220      
14         9          440       
14         10         1220      
14         11         420       
14         12         1220      
14         13         440       
14         14         1220      
14         15         440       
14         16         1220      
14         17         440       
14         18         1220      
14         19         440       
14         20         1220      
14         21         500       
14         22         1220      
14         23         440       
14         24         1220      
14         TotalExcRef 21160     
18         0          1200      
18         1          400       
18         2          1200      
18         3          440       
18         4          1200      
18         5          400       
18         6          1200      
18         7          420       
18         8          1200      
18         9          420       
18         10         1200      
18         11         400       
18         12         1200      
18         13         420       
18         14         1200      
18         15         420       
18         16         1200      
18         17         420       
18         18         1200      
18         19         420       
18         20         1200      
18         21         480       
18         22         1200      
18         23         420       
18         24         1200      
18         TotalExcRef 20660     
51         0          60        
51         1          21        
51         2          60        
51         3          31        
51         4          60        
51         5          21        
51         6          60        
51         7          24        
51         8          60        
51         9          32        
51         10         60        
51         11         23        
51         12         60        
51         13         29        
51         14         60        
51         15         31        
51         16         60        
51         17         28        
51         18         60        
51         19         30        
51         20         60        
51         21         31        
51         22         60        
51         23         29        
51         24         60        
51         TotalExcRef 1110      
54         0          59        
54         1          20        
54         2          59        
54         3          30        
54         4          59        
54         5          20        
54         6          59        
54         7          23        
54         8          59        
54         9          32        
54         10         59        
54         11         22        
54         12         59        
54         13         28        
54         14         59        
54         15         30        
54         16         59        
54         17         27        
54         18         59        
54         19         29        
54         20         59        
54         21         30        
54         22         59        
54         23         29        
54         24         59        
54         TotalExcRef 1087      
55         0          60        
55         1          21        
55         2          60        
55         3          31        
55         4          60        
55         5          21        
55         6          60        
55         7          24        
55         8          60        
55         9          32        
55         10         60        
55         11         23        
55         12         60        
55         13         29        
55         14         60        
55         15         31        
55         16         60        
55         17         28        
55         18         60        
55         19         30        
55         20         60        
55         21         31        
55         22         60        
55         23         29        
55         24         60        
55         TotalExcRef 1110      
64         0          59        
64         1          20        
64         2          59        
64         3          30        
64         4          59        
64         5          20        
64         6          59        
64         7          23        
64         8          59        
64         9          31        
64         10         59        
64         11         22        
64         12         59        
64         13         28        
64         14         59        
64         15         30        
64         16         59        
64         17         27        
64         18         59        
64         19         29        
64         20         59        
64         21         30        
64         22         59        
64         23         28        
64         24         59        
64         TotalExcRef 1085      
74         0          41        
74         1          20        
74         2          41        
74         3          20        
74         4          41        
74         5          20        
74         6          41        
74         7          21        
74         8          41        
74         9          21        
74         10         41        
74         11         20        
74         12         41        
74         13         21        
74         14         41        
74         15         21        
74         16         41        
74         17         21        
74         18         41        
74         19         21        
74         20         41        
74         21         24        
74         22         41        
74         23         21        
74         24         41        
74         TotalExcRef 784       
82         0          0         
82         1          0         
82         2          0         
82         3          0         
82         4          0         
82         5          0         
82         6          0         
82         7          0         
82         8          0         
82         9          0         
82         10         0         
82         11         0         
82         12         0         
82         13         0         
82         14         0         
82         15         0         
82         16         0         
82         17         0         
82         18         0         
82         19         0         
82         20         0         
82         21         0         
82         22         0         
82         23         0         
82         24         0         
82         TotalExcRef 0         
Total execution ref: 47521
