Contains data to explore the number of task required for saturation
Task Number Exploration (TNE)
Number Task : 1 2 5 10 25 
79 perturbation point
N Execution Enactor
PONE : Numerical Perturbator
Each task is an arrays of 50
Seed used for generate task is 23
#Tasks     IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   %Success                   
1          0          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          0          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          0          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         0          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         0          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          1          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          1          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          1          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         1          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         1          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          2          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          2          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          2          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         2          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         2          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          3          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          3          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          3          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         3          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         3          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          4          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          4          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          4          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         4          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         4          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          5          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          5          2          0          0          2                  1,00               2              1,00                     2          2          -------------------- 100,00
5          5          5          0          0          5                  1,00               5              1,00                     5          5          -------------------- 100,00
10         5          10         0          0          10                 1,00               10             1,00                     10         10         -------------------- 100,00
25         5          25         0          0          25                 1,00               25             1,00                     25         25         -------------------- 100,00
1          6          1          0          0          1                  1,00               1              1,00                     1          1          -------------------- 100,00
2          6          1          1          0          2                  1,00               2              1,00                     2          2          ---------- 50,00           
5          6          3          2          0          5                  1,00               5              1,00                     5          5          ------------ 60,00         
10         6          6          4          0          10                 1,00               10             1,00                     10         10         ------------ 60,00         
25         6          15         10         0          25                 1,00               25             1,00                     25         25         ------------ 60,00         
1          7          20         1          0          440                20,95              21             1,00                     21         21         -------------------- 95,24 
2          7          40         2          0          880                20,95              42             1,00                     42         42         -------------------- 95,24 
5          7          100        5          0          2200               20,95              105            1,00                     105        105        -------------------- 95,24 
10         7          200        10         0          4400               20,95              210            1,00                     210        210        -------------------- 95,24 
25         7          500        25         0          11000              20,95              525            1,00                     525        525        -------------------- 95,24 
1          8          20         0          1          441                21,00              21             1,00                     21         21         -------------------- 95,24 
2          8          40         0          2          882                21,00              42             1,00                     42         42         -------------------- 95,24 
5          8          100        0          5          2205               21,00              105            1,00                     105        105        -------------------- 95,24 
10         8          200        0          10         4410               21,00              210            1,00                     210        210        -------------------- 95,24 
25         8          500        0          25         11025              21,00              525            1,00                     525        525        -------------------- 95,24 
1          10         20         0          0          400                20,00              20             1,00                     20         20         -------------------- 100,00
2          10         40         0          0          800                20,00              40             1,00                     40         40         -------------------- 100,00
5          10         100        0          0          2000               20,00              100            1,00                     100        100        -------------------- 100,00
10         10         200        0          0          4000               20,00              200            1,00                     200        200        -------------------- 100,00
25         10         500        0          0          10000              20,00              500            1,00                     500        500        -------------------- 100,00
1          11         20         0          0          400                20,00              20             1,00                     20         20         -------------------- 100,00
2          11         39         1          0          800                20,00              40             1,00                     40         40         -------------------- 97,50 
5          11         99         1          0          2000               20,00              100            1,00                     100        100        -------------------- 99,00 
10         11         196        4          0          4000               20,00              200            1,00                     200        200        -------------------- 98,00 
25         11         490        10         0          10000              20,00              500            1,00                     500        500        -------------------- 98,00 
1          12         1219       1          0          1488380            1219,98            1220           1,00                     1220       1220       -------------------- 99,92 
2          12         1639       1          0          1664760            1015,10            1640           1,00                     1640       1640       -------------------- 99,94 
5          12         4535       5          0          4853100            1068,96            4540           1,00                     4540       4540       -------------------- 99,89 
10         12         8273       7          0          8393400            1013,70            8280           1,00                     8280       8280       -------------------- 99,92 
25         12         21137      23         0          21694700           1025,27            21160          1,00                     21160      21160      -------------------- 99,89 
1          13         1200       0          20         1476810            1210,50            1220           1,00                     1220       1220       -------------------- 98,36 
2          13         1600       0          40         1649220            1005,62            1640           1,00                     1640       1640       -------------------- 97,56 
5          13         4440       0          100        4810070            1059,49            4540           1,00                     4540       4540       -------------------- 97,80 
10         13         8080       0          200        8314940            1004,22            8280           1,00                     8280       8280       -------------------- 97,58 
25         13         20660      0          500        21494180           1015,79            21160          1,00                     21160      21160      -------------------- 97,64 
1          15         1200       0          0          1440000            1200,00            1200           1,00                     1200       1200       -------------------- 100,00
2          15         1600       0          0          1600000            1000,00            1600           1,00                     1600       1600       -------------------- 100,00
5          15         4440       0          0          4673600            1052,61            4440           1,00                     4440       4440       -------------------- 100,00
10         15         8080       0          0          8066400            998,32             8080           1,00                     8080       8080       -------------------- 100,00
25         15         20660      0          0          20858800           1009,62            20660          1,00                     20660      20660      -------------------- 100,00
1          16         1138       2          60         1438230            1198,53            1200           1,00                     1200       1200       ------------------- 94,83  
2          16         1500       20         80         1598040            998,78             1600           1,00                     1600       1600       ------------------- 93,75  
5          16         4177       41         222        4667869            1051,32            4440           1,00                     4440       4440       ------------------- 94,08  
10         16         7581       95         404        8056519            997,09             8080           1,00                     8080       8080       ------------------- 93,82  
25         16         19398      229        1033       20833243           1008,39            20660          1,00                     20660      20660      ------------------- 93,89  
1          17         1168       12         20         1428600            1190,50            1200           1,00                     1200       1200       -------------------- 97,33 
2          17         1530       30         40         1584800            990,50             1600           1,00                     1600       1600       -------------------- 95,63 
5          17         4262       78         100        4631420            1043,11            4440           1,00                     4440       4440       -------------------- 95,99 
10         17         7729       151        200        7989640            988,82             8080           1,00                     8080       8080       -------------------- 95,66 
25         17         19820      340        500        20662530           1000,12            20660          1,00                     20660      20660      -------------------- 95,93 
1          19         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          19         133        6          3          16129              113,58             142            1,00                     142        142        ------------------- 93,66  
5          19         245        14         10         25645              95,33              269            1,00                     269        269        ------------------- 91,08  
10         19         570        39         24         64569              102,00             633            1,00                     633        633        ------------------- 90,05  
25         19         1332       119        59         148479             98,33              1510           1,00                     1510       1510       ------------------ 88,21   
1          20         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          20         133        6          3          16129              113,58             142            1,00                     142        142        ------------------- 93,66  
5          20         245        14         10         25645              95,33              269            1,00                     269        269        ------------------- 91,08  
10         20         570        39         24         64569              102,00             633            1,00                     633        633        ------------------- 90,05  
25         20         1332       119        59         148479             98,33              1510           1,00                     1510       1510       ------------------ 88,21   
1          21         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          21         133        6          3          16129              113,58             142            1,00                     142        142        ------------------- 93,66  
5          21         245        14         10         25645              95,33              269            1,00                     269        269        ------------------- 91,08  
10         21         570        39         24         64569              102,00             633            1,00                     633        633        ------------------- 90,05  
25         21         1332       119        59         148479             98,33              1510           1,00                     1510       1510       ------------------ 88,21   
1          22         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          22         133        6          3          16015              112,78             142            1,00                     142        142        ------------------- 93,66  
5          22         245        13         11         25166              93,55              269            1,00                     269        269        ------------------- 91,08  
10         22         575        38         20         63821              100,82             633            1,00                     633        633        ------------------- 90,84  
25         22         1336       115        59         145904             96,63              1510           1,00                     1510       1510       ------------------ 88,48   
1          23         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          23         133        6          3          16015              112,78             142            1,00                     142        142        ------------------- 93,66  
5          23         245        13         11         25166              93,55              269            1,00                     269        269        ------------------- 91,08  
10         23         575        38         20         63821              100,82             633            1,00                     633        633        ------------------- 90,84  
25         23         1336       115        59         145904             96,63              1510           1,00                     1510       1510       ------------------ 88,48   
1          24         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          24         133        6          3          16015              112,78             142            1,00                     142        142        ------------------- 93,66  
5          24         245        13         11         25166              93,55              269            1,00                     269        269        ------------------- 91,08  
10         24         575        38         20         63821              100,82             633            1,00                     633        633        ------------------- 90,84  
25         24         1336       115        59         145904             96,63              1510           1,00                     1510       1510       ------------------ 88,48   
1          25         15         1          0          256                16,00              16             1,00                     16         16         ------------------- 93,75  
2          25         140        2          0          16132              113,61             142            1,00                     142        142        -------------------- 98,59 
5          25         259        10         0          25669              95,42              269            1,00                     269        269        -------------------- 96,28 
10         25         607        26         0          64627              102,10             633            1,00                     633        633        -------------------- 95,89 
25         25         1439       71         0          148632             98,43              1510           1,00                     1510       1510       -------------------- 95,30 
1          26         16         0          0          256                16,00              16             1,00                     16         16         -------------------- 100,00
2          26         141        1          0          16132              113,61             142            1,00                     142        142        -------------------- 99,30 
5          26         258        11         0          25669              95,42              269            1,00                     269        269        -------------------- 95,91 
10         26         611        22         0          64627              102,10             633            1,00                     633        633        -------------------- 96,52 
25         26         1452       58         0          148632             98,43              1510           1,00                     1510       1510       -------------------- 96,16 
1          27         15         1          0          256                16,00              16             1,00                     16         16         ------------------- 93,75  
2          27         139        3          0          16132              113,61             142            1,00                     142        142        -------------------- 97,89 
5          27         231        38         0          25669              95,42              269            1,00                     269        269        ------------------ 85,87   
10         27         546        87         0          64627              102,10             633            1,00                     633        633        ------------------ 86,26   
25         27         1249       261        0          148632             98,43              1510           1,00                     1510       1510       ----------------- 82,72    
1          28         15         1          0          256                16,00              16             1,00                     16         16         ------------------- 93,75  
2          28         139        3          0          16132              113,61             142            1,00                     142        142        -------------------- 97,89 
5          28         231        38         0          25669              95,42              269            1,00                     269        269        ------------------ 85,87   
10         28         546        87         0          64627              102,10             633            1,00                     633        633        ------------------ 86,26   
25         28         1249       261        0          148632             98,43              1510           1,00                     1510       1510       ----------------- 82,72    
1          29         15         1          0          256                16,00              16             1,00                     16         16         ------------------- 93,75  
2          29         139        3          0          16132              113,61             142            1,00                     142        142        -------------------- 97,89 
5          29         231        38         0          25669              95,42              269            1,00                     269        269        ------------------ 85,87   
10         29         546        87         0          64627              102,10             633            1,00                     633        633        ------------------ 86,26   
25         29         1249       261        0          148632             98,43              1510           1,00                     1510       1510       ----------------- 82,72    
