Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
22         0          9         
22         1          9         
22         2          9         
22         3          9         
22         4          9         
22         5          9         
22         6          9         
22         7          9         
22         8          9         
22         9          9         
22         10         9         
22         11         9         
22         12         9         
22         13         9         
22         14         9         
22         15         9         
22         16         9         
22         17         9         
22         18         9         
22         19         9         
22         TotalExcRef 180       
38         0          4         
38         1          4         
38         2          4         
38         3          4         
38         4          4         
38         5          4         
38         6          4         
38         7          4         
38         8          4         
38         9          4         
38         10         4         
38         11         4         
38         12         4         
38         13         4         
38         14         4         
38         15         4         
38         16         4         
38         17         4         
38         18         4         
38         19         4         
38         TotalExcRef 80        
45         0          195       
45         1          195       
45         2          195       
45         3          195       
45         4          195       
45         5          195       
45         6          195       
45         7          195       
45         8          195       
45         9          195       
45         10         195       
45         11         195       
45         12         195       
45         13         195       
45         14         195       
45         15         195       
45         16         195       
45         17         195       
45         18         195       
45         19         195       
45         TotalExcRef 3900      
51         0          192       
51         1          192       
51         2          192       
51         3          192       
51         4          192       
51         5          192       
51         6          192       
51         7          192       
51         8          192       
51         9          192       
51         10         192       
51         11         192       
51         12         192       
51         13         192       
51         14         192       
51         15         192       
51         16         192       
51         17         192       
51         18         192       
51         19         192       
51         TotalExcRef 3840      
75         0          195       
75         1          195       
75         2          195       
75         3          195       
75         4          195       
75         5          195       
75         6          195       
75         7          195       
75         8          195       
75         9          195       
75         10         195       
75         11         195       
75         12         195       
75         13         195       
75         14         195       
75         15         195       
75         16         195       
75         17         195       
75         18         195       
75         19         195       
75         TotalExcRef 3900      
151        0          5         
151        1          5         
151        2          5         
151        3          5         
151        4          5         
151        5          5         
151        6          5         
151        7          5         
151        8          5         
151        9          5         
151        10         5         
151        11         5         
151        12         5         
151        13         5         
151        14         5         
151        15         5         
151        16         5         
151        17         5         
151        18         5         
151        19         5         
151        TotalExcRef 100       
154        0          4         
154        1          4         
154        2          4         
154        3          4         
154        4          4         
154        5          4         
154        6          4         
154        7          4         
154        8          4         
154        9          4         
154        10         4         
154        11         4         
154        12         4         
154        13         4         
154        14         4         
154        15         4         
154        16         4         
154        17         4         
154        18         4         
154        19         4         
154        TotalExcRef 80        
158        0          3         
158        1          3         
158        2          3         
158        3          3         
158        4          3         
158        5          3         
158        6          3         
158        7          3         
158        8          3         
158        9          3         
158        10         3         
158        11         3         
158        12         3         
158        13         3         
158        14         3         
158        15         3         
158        16         3         
158        17         3         
158        18         3         
158        19         3         
158        TotalExcRef 60        
162        0          2         
162        1          2         
162        2          2         
162        3          2         
162        4          2         
162        5          2         
162        6          2         
162        7          2         
162        8          2         
162        9          2         
162        10         2         
162        11         2         
162        12         2         
162        13         2         
162        14         2         
162        15         2         
162        16         2         
162        17         2         
162        18         2         
162        19         2         
162        TotalExcRef 40        
171        0          20        
171        1          20        
171        2          20        
171        3          20        
171        4          20        
171        5          20        
171        6          20        
171        7          20        
171        8          20        
171        9          20        
171        10         20        
171        11         20        
171        12         20        
171        13         20        
171        14         20        
171        15         20        
171        16         20        
171        17         20        
171        18         20        
171        19         20        
171        TotalExcRef 400       
Total execution ref: 12580
