aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
NEGB : negation of boolean value.
20 string of 100 char
Random char generated with 23 as seed
10 perturbation points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
22         120        40         20         900                5,00               180            1,00                     180        180        9.0               20         -------------- 66,67       
38         0          60         20         200                2,50               80             1,00                     80         80         4.0               20          0,00                      
45         0          3840       60         631800             162,00             3900           1,00                     3900       3900       195.0             20          0,00                      
51         0          0          3840       370560             96,50              3840           1,00                     3840       3840       192.0             20          0,00                      
75         0          3840       60         631800             162,00             3900           1,00                     3900       3900       195.0             20          0,00                      
151        0          80         20         300                3,00               100            1,00                     100        100        5.0               20          0,00                      
154        0          80         0          320                4,00               80             1,00                     80         80         4.0               20          0,00                      
158        0          60         0          180                3,00               60             1,00                     60         60         3.0               20          0,00                      
162        0          40         0          80                 2,00               40             1,00                     40         40         2.0               20          0,00                      
171        0          320        80         7200               18,00              400            1,00                     400        400        20.0              20          0,00                      
