1 2 5 10 25 150 300 500 1000 1500 2000 
#Task      #Sosie     #PMutant  
1          85         0         
2          83         2         
5          83         2         
10         82         3         
25         82         3         
150        82         3         
300        82         3         
500        81         4         
1000       81         4         
1500       81         4         
2000       81         4         
Index of locations sosies : 0 1 2 3 6 10 11 12 14 22 46 48 51 52 53 54 58 59 60 61 62 63 64 66 67 68 69 70 71 72 73 76 77 79 81 82 83 84 85 86 87 88 90 92 93 94 95 96 97 98 99 100 103 104 112 113 117 118 124 125 126 127 128 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 
