aggregate data per location for Magnitude = 10
Exploration Plus Magnitude
magnitude value : 1 2 5 10 20 50 75 100 
37 perturbation point
PM : Numerical Perturbator
1 arrays of 100 integers
Random integer generated with 192 as seed
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
303        74         14         0          7826               88,93              88             1,00                     88         88         88.0              1          ----------------- 84,09    
304        72         0          16         7372               83,77              88             1,00                     88         88         88.0              1          ----------------- 81,82    
305        81         0          7          7794               88,57              88             1,00                     88         88         88.0              1          ------------------- 92,05  
306        86         0          2          7825               88,92              88             1,00                     88         88         88.0              1          -------------------- 97,73 
307        86         0          2          7659               87,03              88             1,00                     88         88         88.0              1          -------------------- 97,73 
308        86         0          2          7825               88,92              88             1,00                     88         88         88.0              1          -------------------- 97,73 
309        88         0          0          7766               88,25              88             1,00                     88         88         88.0              1          -------------------- 100,00
310        81         0          7          7794               88,57              88             1,00                     88         88         88.0              1          ------------------- 92,05  
311        81         0          7          7794               88,57              88             1,00                     88         88         88.0              1          ------------------- 92,05  
312        88         0          0          7781               88,42              88             1,00                     88         88         88.0              1          -------------------- 100,00
313        294        0          0          87112              296,30             294            1,00                     294        294        294.0             1          -------------------- 100,00
314        294        0          0          86524              294,30             294            1,00                     294        294        294.0             1          -------------------- 100,00
316        207        98         22         107247             327,97             327            1,00                     327        327        327.0             1          ------------- 63,30        
317        327        0          0          106929             327,00             327            1,00                     327        327        327.0             1          -------------------- 100,00
318        327        0          0          107148             327,67             327            1,00                     327        327        327.0             1          -------------------- 100,00
320        368        119        84         307023             537,69             571            1,00                     571        571        571.0             1          ------------- 64,45        
321        571        0          0          326184             571,25             571            1,00                     571        571        571.0             1          -------------------- 100,00
322        571        0          0          326041             571,00             571            1,00                     571        571        571.0             1          -------------------- 100,00
324        206        0          0          42554              206,57             206            1,00                     206        206        206.0             1          -------------------- 100,00
325        183        23         0          42383              205,74             206            1,00                     206        206        206.0             1          ------------------ 88,83   
327        0          174        9          33282              181,87             183            1,00                     183        183        183.0             1           0,00                      
328        0          155        28         31836              173,97             183            1,00                     183        183        183.0             1           0,00                      
329        62         26         0          7641               86,83              88             1,00                     88         88         88.0              1          --------------- 70,45      
330        88         0          0          7790               88,52              88             1,00                     88         88         88.0              1          -------------------- 100,00
332        12         30         0          1715               40,83              42             1,00                     42         42         42.0              1          ------ 28,57               
333        39         0          3          1896               45,14              42             1,00                     42         42         42.0              1          ------------------- 92,86  
334        60         28         0          7656               87,00              88             1,00                     88         88         88.0              1          -------------- 68,18       
335        88         0          0          7787               88,49              88             1,00                     88         88         88.0              1          -------------------- 100,00
337        7          36         2          1972               43,82              45             1,00                     45         45         45.0              1          ---- 15,56                 
338        33         0          12         2053               45,62              45             1,00                     45         45         45.0              1          --------------- 73,33      
339        1          173        9          33467              182,88             183            1,00                     183        183        183.0             1          - 0,55                     
340        1          182        0          33489              183,00             183            1,00                     183        183        183.0             1          - 0,55                     
341        0          174        9          33329              182,13             183            1,00                     183        183        183.0             1           0,00                      
342        24         131        28         31868              174,14             183            1,00                     183        183        183.0             1          --- 13,11                  
343        26         157        0          33488              182,99             183            1,00                     183        183        183.0             1          --- 14,21                  
344        0          155        28         31920              174,43             183            1,00                     183        183        183.0             1           0,00                      
345        1          182        0          33489              183,00             183            1,00                     183        183        183.0             1          - 0,55                     
