Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          302       
0          1          294       
0          2          280       
0          3          300       
0          4          301       
0          5          298       
0          6          295       
0          7          304       
0          8          302       
0          9          290       
0          10         292       
0          11         292       
0          12         311       
0          13         312       
0          14         286       
0          15         305       
0          16         291       
0          17         294       
0          18         296       
0          19         293       
0          TotalExcRef 5938      
1          0          420       
1          1          411       
1          2          377       
1          3          387       
1          4          364       
1          5          353       
1          6          452       
1          7          454       
1          8          364       
1          9          435       
1          10         444       
1          11         328       
1          12         443       
1          13         514       
1          14         420       
1          15         369       
1          16         526       
1          17         545       
1          18         475       
1          19         378       
1          TotalExcRef 8459      
2          0          471       
2          1          522       
2          2          552       
2          3          448       
2          4          446       
2          5          533       
2          6          601       
2          7          502       
2          8          422       
2          9          434       
2          10         434       
2          11         526       
2          12         418       
2          13         428       
2          14         589       
2          15         463       
2          16         463       
2          17         403       
2          18         432       
2          19         408       
2          TotalExcRef 9495      
3          0          212       
3          1          208       
3          2          196       
3          3          210       
3          4          215       
3          5          208       
3          6          208       
3          7          211       
3          8          216       
3          9          204       
3          10         204       
3          11         208       
3          12         221       
3          13         219       
3          14         197       
3          15         217       
3          16         207       
3          17         207       
3          18         210       
3          19         209       
3          TotalExcRef 4187      
4          0          90        
4          1          86        
4          2          84        
4          3          90        
4          4          86        
4          5          90        
4          6          87        
4          7          93        
4          8          86        
4          9          86        
4          10         88        
4          11         84        
4          12         90        
4          13         93        
4          14         89        
4          15         88        
4          16         84        
4          17         87        
4          18         86        
4          19         84        
4          TotalExcRef 1751      
5          0          90        
5          1          86        
5          2          84        
5          3          90        
5          4          86        
5          5          90        
5          6          87        
5          7          93        
5          8          86        
5          9          86        
5          10         88        
5          11         84        
5          12         90        
5          13         93        
5          14         89        
5          15         88        
5          16         84        
5          17         87        
5          18         86        
5          19         84        
5          TotalExcRef 1751      
Total execution ref: 31581
