aggregate data per location for Magnitude = 5
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
PM : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
41 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
0          1329       420        2          154620             88,30              1751           1,00                     1751       1751       87.55             20         ---------------- 75,90     
1          1586       0          165        149342             85,29              1751           1,00                     1751       1751       87.55             20         ------------------- 90,58  
2          1683       0          68         154716             88,36              1751           1,00                     1751       1751       87.55             20         -------------------- 96,12 
3          1724       0          27         154486             88,23              1751           1,00                     1751       1751       87.55             20         -------------------- 98,46 
4          1731       0          20         152839             87,29              1751           1,00                     1751       1751       87.55             20         -------------------- 98,86 
5          1724       0          27         154486             88,23              1751           1,00                     1751       1751       87.55             20         -------------------- 98,46 
6          1751       0          0          153694             87,77              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
7          1683       0          68         154716             88,36              1751           1,00                     1751       1751       87.55             20         -------------------- 96,12 
8          1683       0          68         154716             88,36              1751           1,00                     1751       1751       87.55             20         -------------------- 96,12 
9          1739       0          12         154055             87,98              1751           1,00                     1751       1751       87.55             20         -------------------- 99,31 
10         5938       0          0          1771333            298,30             5938           1,00                     5938       5938       296.9             20         -------------------- 100,00
11         5932       0          6          1764366            297,13             5938           1,00                     5938       5938       296.9             20         -------------------- 99,90 
12         5658       2664       137        3643877            430,77             8459           1,00                     8459       8459       422.95            20         -------------- 66,89       
13         8459       0          0          3646401            431,07             8459           1,00                     8459       8459       422.95            20         -------------------- 100,00
14         8442       0          17         3649998            431,49             8459           1,00                     8459       8459       422.95            20         -------------------- 99,80 
15         4272       0          0          981572             229,77             4272           1,00                     4272       4272       213.6             20         -------------------- 100,00
16         6279       2659       557        4479132            471,74             9495           1,00                     9495       9495       474.75            20         -------------- 66,13       
17         9477       0          18         4572843            481,61             9495           1,00                     9495       9495       474.75            20         -------------------- 99,81 
18         9495       0          0          4576479            481,99             9495           1,00                     9495       9495       474.75            20         -------------------- 100,00
19         5308       0          0          1486040            279,96             5308           1,00                     5308       5308       265.4             20         -------------------- 100,00
20         4187       0          0          879229             209,99             4187           1,00                     4187       4187       209.35            20         -------------------- 100,00
21         3616       571        0          876065             209,23             4187           1,00                     4187       4187       209.35            20         ------------------ 86,36   
22         43         3496       77         653403             180,70             3616           1,00                     3616       3616       180.8             20         - 1,19                     
23         0          3367       249        638088             176,46             3616           1,00                     3616       3616       180.8             20          0,00                      
24         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
25         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
26         1338       413        0          152334             87,00              1751           1,00                     1751       1751       87.55             20         ---------------- 76,41     
27         1751       0          0          154360             88,16              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
28         175        662        3          34644              41,24              840            1,00                     840        840        42.0              20         ----- 20,83                
29         809        0          31         36655              43,64              840            1,00                     840        840        42.0              20         -------------------- 96,31 
30         1751       0          0          154309             88,13              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
31         1339       412        0          152299             86,98              1751           1,00                     1751       1751       87.55             20         ---------------- 76,47     
32         203        657        31         38967              43,73              891            1,00                     891        891        44.55             20         ----- 22,78                
33         777        0          114        40262              45,19              891            1,00                     891        891        44.55             20         ------------------ 87,21   
34         1478       2066       72         654618             181,03             3616           1,00                     3616       3616       180.8             20         --------- 40,87            
35         0          3616       0          654422             180,98             3616           1,00                     3616       3616       180.8             20          0,00                      
36         176        3365       75         653298             180,67             3616           1,00                     3616       3616       180.8             20         - 4,87                     
37         576        2791       249        638791             176,66             3616           1,00                     3616       3616       180.8             20         ---- 15,93                 
38         553        3058       5          653601             180,75             3616           1,00                     3616       3616       180.8             20         ---- 15,29                 
39         366        3006       244        638680             176,63             3616           1,00                     3616       3616       180.8             20         --- 10,12                  
40         0          3616       0          654422             180,98             3616           1,00                     3616       3616       180.8             20          0,00                      
