Bandit exploration
Random policy
TimeBudget 1000 ms
369 arrays of 25 integers
Random integer generated with 23 as seed
47 perturbations points
IndexLoc        #Perturbations  #Success        #Failure        #Exception      #Call           %Success            
0               8               6               2               0               171             --------------- 75.00
1               7               7               0               0               153             -------------------- 100.00
2               3               3               0               0               65              -------------------- 100.00
3               10              10              0               0               217             -------------------- 100.00
4               3               3               0               0               64              -------------------- 100.00
5               6               6               0               0               126             -------------------- 100.00
6               6               6               0               0               126             -------------------- 100.00
7               6               6               0               0               134             -------------------- 100.00
8               12              12              0               0               254             -------------------- 100.00
9               4               4               0               0               91              -------------------- 100.00
10              8               8               0               0               486             -------------------- 100.00
11              10              10              0               0               617             -------------------- 100.00
12              3               3               0               0               182             -------------------- 100.00
13              9               5               3               1               640             ------------ 55.56  
14              9               9               0               0               653             -------------------- 100.00
15              12              12              0               0               930             -------------------- 100.00
16              8               8               0               0               552             -------------------- 100.00
17              3               3               0               0               109             -------------------- 100.00
18              7               4               1               2               405             ------------ 57.14  
19              8               8               0               0               660             -------------------- 100.00
20              6               6               0               0               439             -------------------- 100.00
21              12              12              0               0               957             -------------------- 100.00
22              7               7               0               0               260             -------------------- 100.00
23              11              11              0               0               447             -------------------- 100.00
24              5               4               1               0               201             ---------------- 80.00
25              10              10              0               0               402             -------------------- 100.00
26              7               0               7               0               239              0.00               
27              5               0               5               0               170              0.00               
28              9               9               0               0               307             -------------------- 100.00
29              7               7               0               0               242             -------------------- 100.00
30              11              11              0               0               226             -------------------- 100.00
31              12              12              0               0               259             -------------------- 100.00
32              8               8               0               0               170             -------------------- 100.00
33              8               2               6               0               77              ----- 25.00         
34              5               5               0               0               47              -------------------- 100.00
35              12              12              0               0               265             -------------------- 100.00
36              9               9               0               0               201             -------------------- 100.00
37              5               5               0               0               104             -------------------- 100.00
38              7               2               5               0               75              ------ 28.57        
39              11              9               0               2               121             ----------------- 81.82
40              9               4               5               0               312             --------- 44.44     
41              14              0               14              0               485              0.00               
42              4               2               2               0               134             ---------- 50.00    
43              8               1               7               0               269             --- 12.50           
44              10              3               7               0               323             ------ 30.00        
45              9               5               4               0               310             ------------ 55.56  
46              6               0               6               0               191              0.00               
