aggregate data per location for random rate = 0.01 and with Perturbator = 1
Exploration Plus One
PONE : plus one perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
41 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #Tasks     %Success                   
0          75         25         0          8767               87,67              89             0,89                     100        20         --------------- 75,00      
1          98         0          2          8694               86,94              88             0,88                     100        20         -------------------- 98,00 
2          100        0          0          8749               87,49              89             0,89                     100        20         -------------------- 100,00
3          100        0          0          8768               87,68              89             0,89                     100        20         -------------------- 100,00
4          100        0          0          8764               87,64              89             0,89                     100        20         -------------------- 100,00
5          100        0          0          8768               87,68              89             0,89                     100        20         -------------------- 100,00
6          100        0          0          8771               87,71              89             0,89                     100        20         -------------------- 100,00
7          100        0          0          8749               87,49              89             0,89                     100        20         -------------------- 100,00
8          100        0          0          8749               87,49              89             0,89                     100        20         -------------------- 100,00
9          100        0          0          8794               87,94              89             0,89                     100        20         -------------------- 100,00
10         100        0          0          29709              297,09             301            3,01                     100        20         -------------------- 100,00
11         100        0          0          29743              297,43             302            3,02                     100        20         -------------------- 100,00
13         26         73         1          42315              423,15             444            4,44                     100        20         ------ 26,00               
14         100        0          0          42295              422,95             443            4,43                     100        20         -------------------- 100,00
15         98         0          2          42432              424,32             446            4,46                     100        20         -------------------- 98,00 
17         100        0          0          21360              213,60             214            2,14                     100        20         -------------------- 100,00
18         17         76         7          46693              466,93             483            4,83                     100        20         ---- 17,00                 
19         100        0          0          47550              475,50             490            4,90                     100        20         -------------------- 100,00
20         100        0          0          47475              474,75             490            4,90                     100        20         -------------------- 100,00
22         100        0          0          26540              265,40             264            2,64                     100        20         -------------------- 100,00
23         100        0          0          20964              209,64             211            2,11                     100        20         -------------------- 100,00
24         73         27         0          20865              208,65             210            2,10                     100        20         --------------- 73,00      
26         21         79         0          18065              180,65             181            1,81                     100        20         ----- 21,00                
27         19         80         1          17987              179,87             181            1,81                     100        20         ---- 19,00                 
28         100        0          0          18080              180,80             181            1,81                     100        20         -------------------- 100,00
29         100        0          0          18080              180,80             181            1,81                     100        20         -------------------- 100,00
30         90         10         0          8737               87,37              89             0,89                     100        20         ------------------ 90,00   
31         100        0          0          8783               87,83              89             0,89                     100        20         -------------------- 100,00
33         72         28         0          4194               41,94              44             0,44                     100        20         --------------- 72,00      
34         100        0          0          4209               42,09              44             0,44                     100        20         -------------------- 100,00
35         100        0          0          8793               87,93              89             0,89                     100        20         -------------------- 100,00
36         96         4          0          8742               87,42              89             0,89                     100        20         -------------------- 96,00 
38         70         30         0          4452               44,52              48             0,48                     100        20         -------------- 70,00       
39         93         0          7          4390               43,90              48             0,48                     100        20         ------------------- 93,00  
40         57         43         0          18067              180,67             181            1,81                     100        20         ------------ 57,00         
41         17         83         0          18080              180,80             181            1,81                     100        20         ---- 17,00                 
42         34         66         0          18051              180,51             181            1,81                     100        20         ------- 34,00              
43         20         78         2          17899              178,99             181            1,81                     100        20         ---- 20,00                 
44         19         81         0          18079              180,79             181            1,81                     100        20         ---- 19,00                 
45         34         64         2          17657              176,57             177            1,77                     100        20         ------- 34,00              
46         17         83         0          18080              180,80             181            1,81                     100        20         ---- 17,00                 
