Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          90        
0          1          86        
0          2          84        
0          3          90        
0          4          86        
0          TotalExcRef 436       
1          0          90        
1          1          86        
1          2          84        
1          3          90        
1          4          86        
1          TotalExcRef 436       
2          0          90        
2          1          86        
2          2          84        
2          3          90        
2          4          86        
2          TotalExcRef 436       
3          0          90        
3          1          86        
3          2          84        
3          3          90        
3          4          86        
3          TotalExcRef 436       
4          0          90        
4          1          86        
4          2          84        
4          3          90        
4          4          86        
4          TotalExcRef 436       
5          0          90        
5          1          86        
5          2          84        
5          3          90        
5          4          86        
5          TotalExcRef 436       
6          0          90        
6          1          86        
6          2          84        
6          3          90        
6          4          86        
6          TotalExcRef 436       
7          0          90        
7          1          86        
7          2          84        
7          3          90        
7          4          86        
7          TotalExcRef 436       
8          0          90        
8          1          86        
8          2          84        
8          3          90        
8          4          86        
8          TotalExcRef 436       
9          0          90        
9          1          86        
9          2          84        
9          3          90        
9          4          86        
9          TotalExcRef 436       
10         0          302       
10         1          294       
10         2          280       
10         3          300       
10         4          301       
10         TotalExcRef 1477      
11         0          302       
11         1          294       
11         2          280       
11         3          300       
11         4          301       
11         TotalExcRef 1477      
12         0          420       
12         1          411       
12         2          377       
12         3          387       
12         4          364       
12         TotalExcRef 1959      
13         0          420       
13         1          411       
13         2          377       
13         3          387       
13         4          364       
13         TotalExcRef 1959      
14         0          420       
14         1          411       
14         2          377       
14         3          387       
14         4          364       
14         TotalExcRef 1959      
15         0          208       
15         1          203       
15         2          181       
15         3          177       
15         4          149       
15         TotalExcRef 918       
16         0          471       
16         1          522       
16         2          552       
16         3          448       
16         4          446       
16         TotalExcRef 2439      
17         0          471       
17         1          522       
17         2          552       
17         3          448       
17         4          446       
17         TotalExcRef 2439      
18         0          471       
18         1          522       
18         2          552       
18         3          448       
18         4          446       
18         TotalExcRef 2439      
19         0          259       
19         1          314       
19         2          356       
19         3          238       
19         4          231       
19         TotalExcRef 1398      
20         0          212       
20         1          208       
20         2          196       
20         3          210       
20         4          215       
20         TotalExcRef 1041      
21         0          212       
21         1          208       
21         2          196       
21         3          210       
21         4          215       
21         TotalExcRef 1041      
22         0          182       
22         1          172       
22         2          173       
22         3          183       
22         4          188       
22         TotalExcRef 898       
23         0          182       
23         1          172       
23         2          173       
23         3          183       
23         4          188       
23         TotalExcRef 898       
24         0          182       
24         1          172       
24         2          173       
24         3          183       
24         4          188       
24         TotalExcRef 898       
25         0          182       
25         1          172       
25         2          173       
25         3          183       
25         4          188       
25         TotalExcRef 898       
26         0          90        
26         1          86        
26         2          84        
26         3          90        
26         4          86        
26         TotalExcRef 436       
27         0          90        
27         1          86        
27         2          84        
27         3          90        
27         4          86        
27         TotalExcRef 436       
28         0          45        
28         1          43        
28         2          38        
28         3          41        
28         4          44        
28         TotalExcRef 211       
29         0          45        
29         1          43        
29         2          38        
29         3          41        
29         4          44        
29         TotalExcRef 211       
30         0          90        
30         1          86        
30         2          84        
30         3          90        
30         4          86        
30         TotalExcRef 436       
31         0          90        
31         1          86        
31         2          84        
31         3          90        
31         4          86        
31         TotalExcRef 436       
32         0          44        
32         1          42        
32         2          45        
32         3          48        
32         4          41        
32         TotalExcRef 220       
33         0          44        
33         1          42        
33         2          45        
33         3          48        
33         4          41        
33         TotalExcRef 220       
34         0          182       
34         1          172       
34         2          173       
34         3          183       
34         4          188       
34         TotalExcRef 898       
35         0          182       
35         1          172       
35         2          173       
35         3          183       
35         4          188       
35         TotalExcRef 898       
36         0          182       
36         1          172       
36         2          173       
36         3          183       
36         4          188       
36         TotalExcRef 898       
37         0          182       
37         1          172       
37         2          173       
37         3          183       
37         4          188       
37         TotalExcRef 898       
38         0          182       
38         1          172       
38         2          173       
38         3          183       
38         4          188       
38         TotalExcRef 898       
39         0          182       
39         1          172       
39         2          173       
39         3          183       
39         4          188       
39         TotalExcRef 898       
40         0          182       
40         1          172       
40         2          173       
40         3          183       
40         4          188       
40         TotalExcRef 898       
Total execution ref: 37390
