aggregate data per location for Perturbator = -1
Exploration Minus One
MONE : minus one perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
41 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
0          1659       0          92         145703             83,21              1751           1,00                     1751       1751       87.55             20         ------------------- 94,75  
1          1007       744        0          153451             87,64              1751           1,00                     1751       1751       87.55             20         ------------ 57,51         
2          1742       0          9          153469             87,65              1751           1,00                     1751       1751       87.55             20         -------------------- 99,49 
3          1751       0          0          153577             87,71              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
4          1751       0          0          153504             87,67              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
5          1751       0          0          153577             87,71              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
6          1751       0          0          153706             87,78              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
7          1742       0          9          153469             87,65              1751           1,00                     1751       1751       87.55             20         -------------------- 99,49 
8          1742       0          9          153469             87,65              1751           1,00                     1751       1751       87.55             20         -------------------- 99,49 
9          1738       0          13         153092             87,43              1751           1,00                     1751       1751       87.55             20         -------------------- 99,26 
10         5938       0          0          1765384            297,30             5938           1,00                     5938       5938       296.9             20         -------------------- 100,00
11         5938       0          0          1764531            297,16             5938           1,00                     5938       5938       296.9             20         -------------------- 100,00
12         5903       2447       109        3622669            428,26             8459           1,00                     8459       8459       422.95            20         -------------- 69,78       
13         8442       0          17         3649998            431,49             8459           1,00                     8459       8459       422.95            20         -------------------- 99,80 
14         8459       0          0          3646401            431,07             8459           1,00                     8459       8459       422.95            20         -------------------- 100,00
15         4272       0          0          981572             229,77             4272           1,00                     4272       4272       213.6             20         -------------------- 100,00
16         6472       3005       18         4566069            480,89             9495           1,00                     9495       9495       474.75            20         -------------- 68,16       
17         9495       0          0          4576479            481,99             9495           1,00                     9495       9495       474.75            20         -------------------- 100,00
18         9477       0          18         4572843            481,61             9495           1,00                     9495       9495       474.75            20         -------------------- 99,81 
19         5308       0          0          1486040            279,96             5308           1,00                     5308       5308       265.4             20         -------------------- 100,00
20         3616       571        0          876065             209,23             4187           1,00                     4187       4187       209.35            20         ------------------ 86,36   
21         4187       0          0          877882             209,67             4187           1,00                     4187       4187       209.35            20         -------------------- 100,00
22         0          3561       55         646320             178,74             3616           1,00                     3616       3616       180.8             20          0,00                      
23         90         3515       11         652421             180,43             3616           1,00                     3616       3616       180.8             20         - 2,49                     
24         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
25         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
26         1751       0          0          154036             87,97              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
27         1633       118        0          153181             87,48              1751           1,00                     1751       1751       87.55             20         ------------------- 93,26  
28         768        0          72         32980              39,26              840            1,00                     840        840        42.0              20         ------------------- 91,43  
29         277        563        0          35230              41,94              840            1,00                     840        840        42.0              20         ------- 32,98              
30         1632       119        0          153156             87,47              1751           1,00                     1751       1751       87.55             20         ------------------- 93,20  
31         1751       0          0          154309             88,13              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
32         891        0          0          39946              44,83              891            1,00                     891        891        44.55             20         -------------------- 100,00
33         287        604        0          39664              44,52              891            1,00                     891        891        44.55             20         ------- 32,21              
34         729        2832       55         646085             178,67             3616           1,00                     3616       3616       180.8             20         ----- 20,16                
35         0          3611       5          654300             180,95             3616           1,00                     3616       3616       180.8             20          0,00                      
36         1414       2152       50         646549             178,80             3616           1,00                     3616       3616       180.8             20         -------- 39,10             
37         2359       1246       11         653051             180,60             3616           1,00                     3616       3616       180.8             20         -------------- 65,24       
38         553        3063       0          654422             180,98             3616           1,00                     3616       3616       180.8             20         ---- 15,29                 
39         957        2653       6          653125             180,62             3616           1,00                     3616       3616       180.8             20         ------ 26,47               
40         0          3611       5          654300             180,95             3616           1,00                     3616       3616       180.8             20          0,00                      
