Contains data to explore the size of task required for saturation
Size Task Exploration (STE)
Size Task : 5 10 20 50 100 225 
41 perturbation point
N Execution Enactor
PONE : Numerical Perturbator
One task of different size
Seed used for generate task is 23
#Tasks     IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   %Success                   
5          0          54         15         3          264                3,67               72             1,00                     72         72         --------------- 75,00      
10         0          102        47         10         1283               8,07               159            1,00                     159        159        ------------- 64,15        
20         0          224        101        4          5491               16,69              329            1,00                     329        329        -------------- 68,09       
50         0          597        265        5          37712              43,50              867            1,00                     867        867        -------------- 68,86       
100        0          1202       543        6          153685             87,77              1751           1,00                     1751       1751       -------------- 68,65       
225        0          2697       1295       3          798356             199,84             3995           1,00                     3995       3995       -------------- 67,51       
5          1          33         0          39         201                2,79               72             1,00                     72         72         ---------- 45,83           
10         1          93         0          66         1063               6,69               159            1,00                     159        159        ------------ 58,49         
20         1          251        0          78         4875               14,82              329            1,00                     329        329        ---------------- 76,29     
50         1          775        0          92         36039              41,57              867            1,00                     867        867        ------------------ 89,39   
100        1          1641       0          110        149724             85,51              1751           1,00                     1751       1751       ------------------- 93,72  
225        1          3880       0          115        790225             197,80             3995           1,00                     3995       3995       -------------------- 97,12 
5          2          72         0          0          265                3,68               72             1,00                     72         72         -------------------- 100,00
10         2          159        0          0          1283               8,07               159            1,00                     159        159        -------------------- 100,00
20         2          329        0          0          5473               16,64              329            1,00                     329        329        -------------------- 100,00
50         2          867        0          0          37653              43,43              867            1,00                     867        867        -------------------- 100,00
100        2          1751       0          0          153603             87,72              1751           1,00                     1751       1751       -------------------- 100,00
225        2          3995       0          0          798300             199,82             3995           1,00                     3995       3995       -------------------- 100,00
5          3          72         0          0          264                3,67               72             1,00                     72         72         -------------------- 100,00
10         3          159        0          0          1278               8,04               159            1,00                     159        159        -------------------- 100,00
20         3          329        0          0          5443               16,54              329            1,00                     329        329        -------------------- 100,00
50         3          867        0          0          37621              43,39              867            1,00                     867        867        -------------------- 100,00
100        3          1751       0          0          153504             87,67              1751           1,00                     1751       1751       -------------------- 100,00
225        3          3995       0          0          798092             199,77             3995           1,00                     3995       3995       -------------------- 100,00
5          4          72         0          0          265                3,68               72             1,00                     72         72         -------------------- 100,00
10         4          159        0          0          1284               8,08               159            1,00                     159        159        -------------------- 100,00
20         4          329        0          0          5460               16,60              329            1,00                     329        329        -------------------- 100,00
50         4          867        0          0          37665              43,44              867            1,00                     867        867        -------------------- 100,00
100        4          1751       0          0          153577             87,71              1751           1,00                     1751       1751       -------------------- 100,00
225        4          3995       0          0          798317             199,83             3995           1,00                     3995       3995       -------------------- 100,00
5          5          72         0          0          264                3,67               72             1,00                     72         72         -------------------- 100,00
10         5          159        0          0          1278               8,04               159            1,00                     159        159        -------------------- 100,00
20         5          329        0          0          5443               16,54              329            1,00                     329        329        -------------------- 100,00
50         5          867        0          0          37621              43,39              867            1,00                     867        867        -------------------- 100,00
100        5          1751       0          0          153504             87,67              1751           1,00                     1751       1751       -------------------- 100,00
225        5          3995       0          0          798092             199,77             3995           1,00                     3995       3995       -------------------- 100,00
5          6          72         0          0          265                3,68               72             1,00                     72         72         -------------------- 100,00
10         6          159        0          0          1284               8,08               159            1,00                     159        159        -------------------- 100,00
20         6          329        0          0          5472               16,63              329            1,00                     329        329        -------------------- 100,00
50         6          867        0          0          37668              43,45              867            1,00                     867        867        -------------------- 100,00
100        6          1751       0          0          153569             87,70              1751           1,00                     1751       1751       -------------------- 100,00
225        6          3995       0          0          798319             199,83             3995           1,00                     3995       3995       -------------------- 100,00
5          7          72         0          0          265                3,68               72             1,00                     72         72         -------------------- 100,00
10         7          159        0          0          1283               8,07               159            1,00                     159        159        -------------------- 100,00
20         7          329        0          0          5473               16,64              329            1,00                     329        329        -------------------- 100,00
50         7          867        0          0          37653              43,43              867            1,00                     867        867        -------------------- 100,00
100        7          1751       0          0          153603             87,72              1751           1,00                     1751       1751       -------------------- 100,00
225        7          3995       0          0          798300             199,82             3995           1,00                     3995       3995       -------------------- 100,00
5          8          72         0          0          265                3,68               72             1,00                     72         72         -------------------- 100,00
10         8          159        0          0          1283               8,07               159            1,00                     159        159        -------------------- 100,00
20         8          329        0          0          5473               16,64              329            1,00                     329        329        -------------------- 100,00
50         8          867        0          0          37653              43,43              867            1,00                     867        867        -------------------- 100,00
100        8          1751       0          0          153603             87,72              1751           1,00                     1751       1751       -------------------- 100,00
225        8          3995       0          0          798300             199,82             3995           1,00                     3995       3995       -------------------- 100,00
5          9          59         0          13         264                3,67               72             1,00                     72         72         ----------------- 81,94    
10         9          145        0          14         1326               8,34               159            1,00                     159        159        ------------------- 91,19  
20         9          318        0          11         5554               16,88              329            1,00                     329        329        -------------------- 96,66 
50         9          853        0          14         37853              43,66              867            1,00                     867        867        -------------------- 98,39 
100        9          1739       0          12         154055             87,98              1751           1,00                     1751       1751       -------------------- 99,31 
225        9          3983       0          12         799518             200,13             3995           1,00                     3995       3995       -------------------- 99,70 
5          10         163        0          0          1362               8,36               163            1,00                     163        163        -------------------- 100,00
10         10         403        0          0          8227               20,41              403            1,00                     403        403        -------------------- 100,00
20         10         943        0          0          44725              47,43              943            1,00                     943        943        -------------------- 100,00
50         10         2702       0          0          365703             135,35             2702           1,00                     2702       2702       -------------------- 100,00
100        10         5938       0          0          1764531            297,16             5938           1,00                     5938       5938       -------------------- 100,00
225        10         14639      0          0          10718387           732,18             14639          1,00                     14639      14639      -------------------- 100,00
5          11         163        0          0          1394               8,55               163            1,00                     163        163        -------------------- 100,00
10         11         403        0          0          8312               20,63              403            1,00                     403        403        -------------------- 100,00
20         11         943        0          0          44882              47,59              943            1,00                     943        943        -------------------- 100,00
50         11         2702       0          0          366155             135,51             2702           1,00                     2702       2702       -------------------- 100,00
100        11         5938       0          0          1765384            297,30             5938           1,00                     5938       5938       -------------------- 100,00
225        11         14639      0          0          10720486           732,32             14639          1,00                     14639      14639      -------------------- 100,00
5          13         79         33         19         884                6,75               131            1,00                     131        131        ------------- 60,31        
10         13         254        107        17         7523               19,90              378            1,00                     378        378        -------------- 67,20       
20         13         748        301        17         59643              55,95              1066           1,00                     1066       1066       --------------- 70,17      
50         13         2543       1072       21         673068             185,11             3636           1,00                     3636       3636       -------------- 69,94       
100        13         5946       2496       17         3649921            431,48             8459           1,00                     8459       8459       --------------- 70,29      
225        13         15882      6727       19         26020888           1149,94            22628          1,00                     22628      22628      --------------- 70,19      
5          14         131        0          0          911                6,95               131            1,00                     131        131        -------------------- 100,00
10         14         378        0          0          7420               19,63              378            1,00                     378        378        -------------------- 100,00
20         14         1066       0          0          59602              55,91              1066           1,00                     1066       1066       -------------------- 100,00
50         14         3636       0          0          673862             185,33             3636           1,00                     3636       3636       -------------------- 100,00
