Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
34         0          1         
34         1          1         
34         2          1         
34         3          1         
34         4          1         
34         5          1         
34         6          1         
34         7          1         
34         8          1         
34         9          1         
34         10         1         
34         11         1         
34         12         1         
34         13         1         
34         14         1         
34         15         1         
34         16         1         
34         17         1         
34         18         1         
34         19         1         
34         20         1         
34         21         1         
34         22         1         
34         23         1         
34         24         1         
34         25         1         
34         26         1         
34         27         1         
34         28         1         
34         29         1         
34         30         1         
34         31         1         
34         32         1         
34         33         1         
34         34         1         
34         35         1         
34         36         1         
34         37         1         
34         38         1         
34         39         1         
34         40         1         
34         41         1         
34         42         1         
34         43         1         
34         44         1         
34         45         1         
34         46         1         
34         47         1         
34         48         1         
34         49         1         
34         50         1         
34         51         1         
34         52         1         
34         53         1         
34         54         1         
34         55         1         
34         56         1         
34         57         1         
34         58         1         
34         59         1         
34         60         1         
34         61         1         
34         62         1         
34         63         1         
34         64         1         
34         65         1         
34         66         1         
34         67         1         
34         68         1         
34         69         1         
34         70         1         
34         71         1         
34         72         1         
34         73         1         
34         74         1         
34         75         1         
34         76         1         
34         77         1         
34         78         1         
34         79         1         
34         80         1         
34         81         1         
34         82         1         
34         83         1         
34         84         1         
34         85         1         
34         86         1         
34         87         1         
34         88         1         
34         89         1         
34         90         1         
34         91         1         
34         92         1         
34         93         1         
34         94         1         
34         95         1         
34         96         1         
34         97         1         
34         98         1         
34         99         1         
34         TotalExcRef 100       
39         0          1         
39         1          1         
39         2          1         
39         3          1         
39         4          1         
39         5          1         
39         6          1         
39         7          1         
39         8          1         
39         9          1         
39         10         1         
39         11         1         
39         12         1         
39         13         1         
39         14         1         
39         15         1         
39         16         1         
39         17         1         
39         18         1         
39         19         1         
39         20         1         
39         21         1         
39         22         1         
39         23         1         
39         24         1         
39         25         1         
39         26         1         
39         27         1         
39         28         1         
39         29         1         
39         30         1         
39         31         1         
39         32         1         
39         33         1         
39         34         1         
39         35         1         
39         36         1         
39         37         1         
39         38         1         
39         39         1         
39         40         1         
39         41         1         
39         42         1         
39         43         1         
39         44         1         
39         45         1         
39         46         1         
39         47         1         
39         48         1         
39         49         1         
39         50         1         
39         51         1         
39         52         1         
39         53         1         
39         54         1         
39         55         1         
39         56         1         
39         57         1         
39         58         1         
39         59         1         
39         60         1         
39         61         1         
39         62         1         
39         63         1         
39         64         1         
39         65         1         
39         66         1         
39         67         1         
39         68         1         
39         69         1         
39         70         1         
39         71         1         
39         72         1         
39         73         1         
39         74         1         
39         75         1         
39         76         1         
39         77         1         
39         78         1         
39         79         1         
39         80         1         
39         81         1         
39         82         1         
39         83         1         
39         84         1         
39         85         1         
39         86         1         
39         87         1         
39         88         1         
39         89         1         
39         90         1         
39         91         1         
39         92         1         
39         93         1         
39         94         1         
39         95         1         
39         96         1         
39         97         1         
39         98         1         
39         99         1         
39         TotalExcRef 100       
43         0          9         
43         1          9         
43         2          9         
43         3          9         
43         4          9         
43         5          9         
43         6          9         
43         7          9         
43         8          9         
43         9          9         
43         10         9         
43         11         9         
43         12         9         
43         13         9         
43         14         9         
43         15         9         
43         16         9         
43         17         9         
43         18         9         
43         19         9         
43         20         9         
43         21         9         
43         22         9         
43         23         9         
43         24         9         
43         25         9         
43         26         9         
43         27         9         
43         28         9         
43         29         9         
43         30         9         
43         31         9         
43         32         9         
43         33         9         
43         34         9         
43         35         9         
43         36         9         
43         37         9         
43         38         9         
43         39         9         
43         40         9         
43         41         9         
43         42         9         
43         43         9         
43         44         9         
43         45         9         
43         46         9         
43         47         9         
43         48         9         
43         49         9         
43         50         9         
43         51         9         
43         52         9         
43         53         9         
43         54         9         
43         55         9         
43         56         9         
43         57         9         
43         58         9         
43         59         9         
43         60         9         
43         61         9         
43         62         9         
43         63         9         
43         64         9         
43         65         9         
43         66         9         
43         67         9         
43         68         9         
43         69         9         
43         70         9         
43         71         9         
43         72         9         
43         73         9         
43         74         9         
43         75         9         
43         76         9         
43         77         9         
43         78         9         
43         79         9         
