contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
PM : Numerical Perturbator
100 hex string of 16 byte
Random byte generated with 23 as seed
112 perturbation points
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
1           0          100        0          0          100        100            -------------------- 100,00
5           0          100        0          0          100        100            -------------------- 100,00
10          0          100        0          0          100        100            -------------------- 100,00
20          0          100        0          0          100        100            -------------------- 100,00
50          0          100        0          0          100        100            -------------------- 100,00
75          0          100        0          0          100        100            -------------------- 100,00
100         0          100        0          0          100        100            -------------------- 100,00
1           1          100        0          0          100        100            -------------------- 100,00
5           1          100        0          0          100        100            -------------------- 100,00
10          1          100        0          0          100        100            -------------------- 100,00
20          1          100        0          0          100        100            -------------------- 100,00
50          1          100        0          0          100        100            -------------------- 100,00
75          1          100        0          0          100        100            -------------------- 100,00
100         1          100        0          0          100        100            -------------------- 100,00
1           2          0          0          0          0          0              NaN                        
5           2          0          0          0          0          0              NaN                        
10          2          0          0          0          0          0              NaN                        
20          2          0          0          0          0          0              NaN                        
50          2          0          0          0          0          0              NaN                        
75          2          0          0          0          0          0              NaN                        
100         2          0          0          0          0          0              NaN                        
1           3          0          0          0          0          0              NaN                        
5           3          0          0          0          0          0              NaN                        
10          3          0          0          0          0          0              NaN                        
20          3          0          0          0          0          0              NaN                        
50          3          0          0          0          0          0              NaN                        
75          3          0          0          0          0          0              NaN                        
100         3          0          0          0          0          0              NaN                        
1           4          0          0          0          0          0              NaN                        
5           4          0          0          0          0          0              NaN                        
10          4          0          0          0          0          0              NaN                        
20          4          0          0          0          0          0              NaN                        
50          4          0          0          0          0          0              NaN                        
75          4          0          0          0          0          0              NaN                        
100         4          0          0          0          0          0              NaN                        
1           5          0          0          0          0          0              NaN                        
5           5          0          0          0          0          0              NaN                        
10          5          0          0          0          0          0              NaN                        
20          5          0          0          0          0          0              NaN                        
50          5          0          0          0          0          0              NaN                        
75          5          0          0          0          0          0              NaN                        
100         5          0          0          0          0          0              NaN                        
1           6          0          0          0          0          0              NaN                        
5           6          0          0          0          0          0              NaN                        
10          6          0          0          0          0          0              NaN                        
20          6          0          0          0          0          0              NaN                        
50          6          0          0          0          0          0              NaN                        
75          6          0          0          0          0          0              NaN                        
100         6          0          0          0          0          0              NaN                        
1           7          0          0          0          0          0              NaN                        
5           7          0          0          0          0          0              NaN                        
10          7          0          0          0          0          0              NaN                        
20          7          0          0          0          0          0              NaN                        
50          7          0          0          0          0          0              NaN                        
75          7          0          0          0          0          0              NaN                        
100         7          0          0          0          0          0              NaN                        
1           8          0          0          0          0          0              NaN                        
5           8          0          0          0          0          0              NaN                        
10          8          0          0          0          0          0              NaN                        
20          8          0          0          0          0          0              NaN                        
50          8          0          0          0          0          0              NaN                        
75          8          0          0          0          0          0              NaN                        
100         8          0          0          0          0          0              NaN                        
1           9          0          0          0          0          0              NaN                        
5           9          0          0          0          0          0              NaN                        
10          9          0          0          0          0          0              NaN                        
20          9          0          0          0          0          0              NaN                        
50          9          0          0          0          0          0              NaN                        
75          9          0          0          0          0          0              NaN                        
100         9          0          0          0          0          0              NaN                        
1           10         0          0          0          0          0              NaN                        
5           10         0          0          0          0          0              NaN                        
10          10         0          0          0          0          0              NaN                        
20          10         0          0          0          0          0              NaN                        
50          10         0          0          0          0          0              NaN                        
75          10         0          0          0          0          0              NaN                        
100         10         0          0          0          0          0              NaN                        
1           11         0          0          0          0          0              NaN                        
5           11         0          0          0          0          0              NaN                        
10          11         0          0          0          0          0              NaN                        
20          11         0          0          0          0          0              NaN                        
50          11         0          0          0          0          0              NaN                        
75          11         0          0          0          0          0              NaN                        
100         11         0          0          0          0          0              NaN                        
1           12         0          0          0          0          0              NaN                        
5           12         0          0          0          0          0              NaN                        
10          12         0          0          0          0          0              NaN                        
20          12         0          0          0          0          0              NaN                        
50          12         0          0          0          0          0              NaN                        
75          12         0          0          0          0          0              NaN                        
100         12         0          0          0          0          0              NaN                        
1           13         0          0          0          0          0              NaN                        
5           13         0          0          0          0          0              NaN                        
10          13         0          0          0          0          0              NaN                        
20          13         0          0          0          0          0              NaN                        
50          13         0          0          0          0          0              NaN                        
75          13         0          0          0          0          0              NaN                        
100         13         0          0          0          0          0              NaN                        
1           14         0          0          0          0          0              NaN                        
5           14         0          0          0          0          0              NaN                        
10          14         0          0          0          0          0              NaN                        
