Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
4          0          1         
4          1          1         
4          2          1         
4          3          1         
4          4          1         
4          5          1         
4          6          1         
4          7          1         
4          8          1         
4          9          1         
4          TotalExcRef 10        
7          0          1         
7          1          1         
7          2          1         
7          3          1         
7          4          1         
7          5          1         
7          6          1         
7          7          1         
7          8          1         
7          9          1         
7          TotalExcRef 10        
8          0          1         
8          1          1         
8          2          1         
8          3          1         
8          4          1         
8          5          1         
8          6          1         
8          7          1         
8          8          1         
8          9          1         
8          TotalExcRef 10        
9          0          1         
9          1          1         
9          2          1         
9          3          1         
9          4          1         
9          5          1         
9          6          1         
9          7          1         
9          8          1         
9          9          1         
9          TotalExcRef 10        
13         0          11        
13         1          11        
13         2          11        
13         3          11        
13         4          11        
13         5          11        
13         6          11        
13         7          11        
13         8          11        
13         9          11        
13         TotalExcRef 110       
22         0          11        
22         1          11        
22         2          11        
22         3          11        
22         4          11        
22         5          11        
22         6          11        
22         7          11        
22         8          11        
22         9          11        
22         TotalExcRef 110       
27         0          1         
27         1          1         
27         2          1         
27         3          1         
27         4          1         
27         5          1         
27         6          1         
27         7          1         
27         8          1         
27         9          1         
27         TotalExcRef 10        
29         0          0         
29         1          0         
29         2          0         
29         3          0         
29         4          0         
29         5          0         
29         6          0         
29         7          0         
29         8          0         
29         9          0         
29         TotalExcRef 0         
37         0          11        
37         1          11        
37         2          11        
37         3          11        
37         4          11        
37         5          11        
37         6          11        
37         7          11        
37         8          11        
37         9          11        
37         TotalExcRef 110       
42         0          1010      
42         1          1010      
42         2          1010      
42         3          1010      
42         4          1010      
42         5          1010      
42         6          1010      
42         7          1010      
42         8          1010      
42         9          1010      
42         TotalExcRef 10100     
51         0          1010      
51         1          1010      
51         2          1010      
51         3          1010      
51         4          1010      
51         5          1010      
51         6          1010      
51         7          1010      
51         8          1010      
51         9          1010      
51         TotalExcRef 10100     
57         0          6500      
57         1          6500      
57         2          6500      
57         3          6500      
57         4          6500      
57         5          6500      
57         6          6500      
57         7          6500      
57         8          6500      
57         9          6500      
57         TotalExcRef 65000     
67         0          55        
67         1          55        
67         2          55        
67         3          55        
67         4          55        
67         5          55        
67         6          55        
67         7          55        
67         8          55        
67         9          55        
67         TotalExcRef 550       
77         0          101       
77         1          101       
77         2          101       
77         3          101       
77         4          101       
77         5          101       
77         6          101       
77         7          101       
77         8          101       
77         9          101       
77         TotalExcRef 1010      
84         0          1100      
84         1          1100      
84         2          1100      
84         3          1100      
84         4          1100      
84         5          1100      
84         6          1100      
84         7          1100      
84         8          1100      
84         9          1100      
84         TotalExcRef 11000     
Total execution ref: 98140
