Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          0         
0          1          0         
0          2          0         
0          3          0         
0          4          0         
0          5          0         
0          6          0         
0          7          0         
0          8          0         
0          9          0         
0          TotalExcRef 0         
1          0          0         
1          1          0         
1          2          0         
1          3          0         
1          4          0         
1          5          0         
1          6          0         
1          7          0         
1          8          0         
1          9          0         
1          TotalExcRef 0         
2          0          1         
2          1          1         
2          2          1         
2          3          1         
2          4          1         
2          5          1         
2          6          1         
2          7          1         
2          8          1         
2          9          1         
2          TotalExcRef 10        
3          0          1         
3          1          1         
3          2          1         
3          3          1         
3          4          1         
3          5          1         
3          6          1         
3          7          1         
3          8          1         
3          9          1         
3          TotalExcRef 10        
4          0          1         
4          1          1         
4          2          1         
4          3          1         
4          4          1         
4          5          1         
4          6          1         
4          7          1         
4          8          1         
4          9          1         
4          TotalExcRef 10        
5          0          1         
5          1          1         
5          2          1         
5          3          1         
5          4          1         
5          5          1         
5          6          1         
5          7          1         
5          8          1         
5          9          1         
5          TotalExcRef 10        
6          0          1         
6          1          1705      
6          2          1250      
6          3          1981      
6          4          1682      
6          5          579       
6          6          1750      
6          7          2937      
6          8          3307      
6          9          648       
6          TotalExcRef 15840     
7          0          11        
7          1          11        
7          2          11        
7          3          11        
7          4          11        
7          5          11        
7          6          11        
7          7          11        
7          8          11        
7          9          11        
7          TotalExcRef 110       
8          0          11        
8          1          11        
8          2          11        
8          3          11        
8          4          11        
8          5          11        
8          6          11        
8          7          11        
8          8          11        
8          9          11        
8          TotalExcRef 110       
9          0          10        
9          1          10        
9          2          10        
9          3          10        
9          4          10        
9          5          10        
9          6          10        
9          7          10        
9          8          10        
9          9          10        
9          TotalExcRef 100       
10         0          10        
10         1          10        
10         2          10        
10         3          10        
10         4          10        
10         5          10        
10         6          10        
10         7          10        
10         8          10        
10         9          10        
10         TotalExcRef 100       
11         0          10        
11         1          10        
11         2          10        
11         3          10        
11         4          10        
11         5          10        
11         6          10        
11         7          10        
11         8          10        
11         9          10        
11         TotalExcRef 100       
12         0          10        
12         1          10        
12         2          10        
12         3          10        
12         4          10        
12         5          10        
12         6          10        
12         7          10        
12         8          10        
12         9          10        
12         TotalExcRef 100       
13         0          10        
13         1          10        
13         2          10        
13         3          10        
13         4          10        
13         5          10        
13         6          10        
13         7          10        
13         8          10        
13         9          10        
13         TotalExcRef 100       
14         0          1         
14         1          1         
14         2          1         
14         3          1         
14         4          1         
14         5          1         
14         6          1         
14         7          1         
14         8          1         
14         9          1         
14         TotalExcRef 10        
15         0          11        
15         1          11        
15         2          11        
15         3          11        
15         4          11        
15         5          11        
15         6          11        
15         7          11        
15         8          11        
15         9          11        
15         TotalExcRef 110       
16         0          11        
16         1          11        
16         2          11        
16         3          11        
16         4          11        
16         5          11        
16         6          11        
16         7          11        
16         8          11        
16         9          11        
16         TotalExcRef 110       
17         0          10        
17         1          10        
17         2          10        
17         3          10        
17         4          10        
17         5          10        
17         6          10        
17         7          10        
17         8          10        
17         9          10        
17         TotalExcRef 100       
18         0          10        
18         1          10        
18         2          10        
18         3          10        
18         4          10        
18         5          10        
18         6          10        
18         7          10        
18         8          10        
18         9          10        
18         TotalExcRef 100       
19         0          10        
19         1          10        
19         2          10        
19         3          10        
19         4          10        
19         5          10        
19         6          10        
19         7          10        
19         8          10        
19         9          10        
19         TotalExcRef 100       
20         0          10        
20         1          10        
20         2          10        
20         3          10        
20         4          10        
20         5          10        
20         6          10        
20         7          10        
20         8          10        
20         9          10        
20         TotalExcRef 100       
21         0          0         
21         1          0         
21         2          0         
21         3          0         
21         4          0         
21         5          0         
21         6          0         
21         7          0         
21         8          0         
21         9          0         
21         TotalExcRef 0         
22         0          1         
22         1          1         
22         2          1         
22         3          1         
22         4          1         
22         5          1         
22         6          1         
22         7          1         
22         8          1         
22         9          1         
22         TotalExcRef 10        
23         0          1         
23         1          1         
23         2          1         
23         3          1         
23         4          1         
23         5          1         
23         6          1         
23         7          1         
23         8          1         
23         9          1         
23         TotalExcRef 10        
24         0          1         
24         1          1         
24         2          1         
24         3          1         
24         4          1         
24         5          1         
24         6          1         
24         7          1         
24         8          1         
24         9          1         
24         TotalExcRef 10        
25         0          1         
25         1          1         
25         2          1         
25         3          1         
25         4          1         
25         5          1         
25         6          1         
25         7          1         
25         8          1         
25         9          1         
25         TotalExcRef 10        
26         0          1         
26         1          1         
26         2          1         
26         3          1         
26         4          1         
26         5          1         
26         6          1         
26         7          1         
26         8          1         
26         9          1         
26         TotalExcRef 10        
27         0          11        
27         1          11        
27         2          11        
27         3          11        
27         4          11        
27         5          11        
27         6          11        
27         7          11        
27         8          11        
27         9          11        
27         TotalExcRef 110       
28         0          11        
28         1          11        
28         2          11        
28         3          11        
28         4          11        
28         5          11        
28         6          11        
28         7          11        
28         8          11        
28         9          11        
28         TotalExcRef 110       
29         0          10        
29         1          10        
29         2          10        
29         3          10        
29         4          10        
29         5          10        
29         6          10        
29         7          10        
29         8          10        
29         9          10        
29         TotalExcRef 100       
30         0          10        
30         1          10        
30         2          10        
30         3          10        
30         4          10        
30         5          10        
30         6          10        
30         7          10        
30         8          10        
30         9          10        
30         TotalExcRef 100       
31         0          1010      
31         1          1010      
31         2          1010      
31         3          1010      
31         4          1010      
31         5          1010      
31         6          1010      
31         7          1010      
31         8          1010      
31         9          1010      
31         TotalExcRef 10100     
32         0          1010      
32         1          1010      
32         2          1010      
32         3          1010      
32         4          1010      
32         5          1010      
32         6          1010      
32         7          1010      
32         8          1010      
32         9          1010      
32         TotalExcRef 10100     
33         0          1000      
33         1          1000      
33         2          1000      
33         3          1000      
33         4          1000      
33         5          1000      
33         6          1000      
33         7          1000      
33         8          1000      
33         9          1000      
33         TotalExcRef 10000     
34         0          1000      
34         1          1000      
34         2          1000      
34         3          1000      
34         4          1000      
34         5          1000      
34         6          1000      
34         7          1000      
34         8          1000      
34         9          1000      
34         TotalExcRef 10000     
35         0          1000      
35         1          1000      
35         2          1000      
35         3          1000      
35         4          1000      
35         5          1000      
35         6          1000      
35         7          1000      
35         8          1000      
35         9          1000      
35         TotalExcRef 10000     
36         0          1000      
36         1          1000      
36         2          1000      
36         3          1000      
36         4          1000      
36         5          1000      
36         6          1000      
36         7          1000      
36         8          1000      
36         9          1000      
36         TotalExcRef 10000     
37         0          10        
37         1          10        
37         2          10        
37         3          10        
37         4          10        
37         5          10        
37         6          10        
37         7          10        
37         8          10        
37         9          10        
37         TotalExcRef 100       
38         0          10        
38         1          10        
38         2          10        
38         3          10        
38         4          10        
38         5          10        
38         6          10        
38         7          10        
38         8          10        
38         9          10        
38         TotalExcRef 100       
39         0          1010      
39         1          1010      
39         2          1010      
39         3          1010      
39         4          1010      
39         5          1010      
39         6          1010      
39         7          1010      
39         8          1010      
39         9          1010      
39         TotalExcRef 10100     
40         0          1010      
40         1          1010      
40         2          1010      
40         3          1010      
40         4          1010      
40         5          1010      
40         6          1010      
40         7          1010      
40         8          1010      
40         9          1010      
40         TotalExcRef 10100     
41         0          1000      
41         1          1000      
41         2          1000      
41         3          1000      
41         4          1000      
41         5          1000      
41         6          1000      
41         7          1000      
41         8          1000      
41         9          1000      
41         TotalExcRef 10000     
42         0          1000      
42         1          1000      
42         2          1000      
42         3          1000      
42         4          1000      
42         5          1000      
42         6          1000      
42         7          1000      
42         8          1000      
42         9          1000      
