aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
NEGB : negation of boolean value.
100 string of 128 bytes
Generated with 23 as seed
20 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
124        228        0          124        1312               3,73               352            1,00                     352        352        3.52              100        ------------- 64,77        
139        77         0          0          78                 1,01               77             1,00                     77         77         0.77              100        -------------------- 100,00
153        152        0          0          304                2,00               152            1,00                     152        152        1.52              100        -------------------- 100,00
157        55         0          21         76                 1,00               76             1,00                     76         76         0.76              100        --------------- 72,37      
160        1          0          21         22                 1,00               22             1,00                     22         22         0.22              100        - 4,55                     
161        1          54         21         76                 1,00               76             1,00                     76         76         0.76              100        - 1,32                     
170        55         0          0          55                 1,00               55             1,00                     55         55         0.55              100        -------------------- 100,00
180        0          76         0          76                 1,00               76             1,00                     76         76         0.76              100         0,00                      
191        0          0          176        252                1,43               176            1,00                     176        176        1.76              100         0,00                      
196        76         0          100        328                1,86               176            1,00                     176        176        1.76              100        --------- 43,18            
197        0          0          100        100                1,00               100            1,00                     100        100        1.0               100         0,00                      
198        0          0          100        100                1,00               100            1,00                     100        100        1.0               100         0,00                      
199        0          0          176        252                1,43               176            1,00                     176        176        1.76              100         0,00                      
202        152        0          24         328                1,86               176            1,00                     176        176        1.76              100        ------------------ 86,36   
205        152        0          24         328                1,86               176            1,00                     176        176        1.76              100        ------------------ 86,36   
206        152        0          24         328                1,86               176            1,00                     176        176        1.76              100        ------------------ 86,36   
217        0          24         152        276                1,57               176            1,00                     176        176        1.76              100         0,00                      
219        76         0          76         304                2,00               152            1,00                     152        152        1.52              100        ---------- 50,00           
257        0          0          200        300                1,50               200            1,00                     200        200        2.0               100         0,00                      
258        152        0          48         400                2,00               200            1,00                     200        200        2.0               100        ---------------- 76,00     
