Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
122        0          4         
122        1          2         
122        2          4         
122        3          4         
122        4          4         
122        5          2         
122        6          2         
122        7          4         
122        8          4         
122        9          4         
122        10         4         
122        11         4         
122        12         4         
122        13         4         
122        14         4         
122        15         2         
122        16         2         
122        17         4         
122        18         2         
122        19         4         
122        20         2         
122        21         2         
122        22         4         
122        23         4         
122        24         4         
122        25         4         
122        26         4         
122        27         4         
122        28         4         
122        29         4         
122        30         4         
122        31         4         
122        32         4         
122        33         4         
122        34         2         
122        35         4         
122        36         4         
122        37         2         
122        38         2         
122        39         4         
122        40         4         
122        41         2         
122        42         2         
122        43         4         
122        44         2         
122        45         2         
122        46         4         
122        47         4         
122        48         4         
122        49         4         
122        50         4         
122        51         4         
122        52         4         
122        53         4         
122        54         4         
122        55         2         
122        56         4         
122        57         4         
122        58         4         
122        59         4         
122        60         4         
122        61         4         
122        62         4         
122        63         4         
122        64         4         
122        65         4         
122        66         4         
122        67         4         
122        68         4         
122        69         4         
122        70         4         
122        71         4         
122        72         4         
122        73         4         
122        74         4         
122        75         4         
122        76         4         
122        77         4         
122        78         4         
122        79         2         
122        80         4         
122        81         4         
122        82         4         
122        83         4         
122        84         4         
122        85         4         
122        86         4         
122        87         4         
122        88         4         
122        89         2         
122        90         2         
122        91         4         
122        92         2         
122        93         2         
122        94         4         
122        95         4         
122        96         2         
122        97         2         
122        98         4         
122        99         2         
122        TotalExcRef 352       
123        0          4         
123        1          2         
123        2          4         
123        3          4         
123        4          4         
123        5          2         
123        6          2         
123        7          4         
123        8          4         
123        9          4         
123        10         4         
123        11         4         
123        12         4         
123        13         4         
123        14         4         
123        15         2         
123        16         2         
123        17         4         
123        18         2         
123        19         4         
123        20         2         
123        21         2         
123        22         4         
123        23         4         
123        24         4         
123        25         4         
123        26         4         
123        27         4         
123        28         4         
123        29         4         
123        30         4         
123        31         4         
123        32         4         
123        33         4         
123        34         2         
123        35         4         
123        36         4         
123        37         2         
123        38         2         
123        39         4         
123        40         4         
123        41         2         
123        42         2         
123        43         4         
123        44         2         
123        45         2         
123        46         4         
123        47         4         
123        48         4         
123        49         4         
123        50         4         
123        51         4         
123        52         4         
123        53         4         
123        54         4         
123        55         2         
123        56         4         
123        57         4         
123        58         4         
123        59         4         
123        60         4         
123        61         4         
123        62         4         
123        63         4         
123        64         4         
123        65         4         
123        66         4         
123        67         4         
123        68         4         
123        69         4         
123        70         4         
123        71         4         
123        72         4         
123        73         4         
123        74         4         
123        75         4         
123        76         4         
123        77         4         
123        78         4         
123        79         2         
123        80         4         
123        81         4         
123        82         4         
123        83         4         
123        84         4         
123        85         4         
123        86         4         
123        87         4         
123        88         4         
123        89         2         
123        90         2         
123        91         4         
123        92         2         
123        93         2         
123        94         4         
123        95         4         
123        96         2         
123        97         2         
123        98         4         
123        99         2         
123        TotalExcRef 352       
125        0          2         
125        1          2         
125        2          2         
125        3          2         
125        4          2         
125        5          2         
125        6          2         
125        7          2         
125        8          2         
125        9          2         
125        10         2         
125        11         2         
125        12         2         
125        13         2         
125        14         2         
125        15         2         
125        16         2         
125        17         2         
125        18         2         
125        19         2         
125        20         2         
125        21         2         
125        22         2         
125        23         2         
125        24         2         
125        25         2         
125        26         2         
125        27         2         
125        28         2         
125        29         2         
125        30         2         
125        31         2         
125        32         2         
125        33         2         
125        34         2         
125        35         2         
125        36         2         
125        37         2         
125        38         2         
125        39         2         
125        40         2         
125        41         2         
125        42         2         
125        43         2         
125        44         2         
125        45         2         
125        46         2         
125        47         2         
125        48         2         
125        49         2         
125        50         2         
125        51         2         
125        52         2         
125        53         2         
125        54         2         
125        55         2         
125        56         2         
125        57         2         
125        58         2         
125        59         2         
125        60         2         
125        61         2         
125        62         2         
125        63         2         
125        64         2         
125        65         2         
125        66         2         
125        67         2         
125        68         2         
125        69         2         
125        70         2         
125        71         2         
125        72         2         
125        73         2         
125        74         2         
125        75         2         
125        76         2         
125        77         2         
125        78         2         
125        79         2         
125        80         2         
125        81         2         
125        82         2         
125        83         2         
125        84         2         
125        85         2         
125        86         2         
125        87         2         
125        88         2         
125        89         2         
125        90         2         
125        91         2         
125        92         2         
125        93         2         
125        94         2         
125        95         2         
125        96         2         
125        97         2         
125        98         2         
125        99         2         
125        TotalExcRef 200       
126        0          2         
126        1          2         
126        2          2         
126        3          2         
126        4          2         
126        5          2         
126        6          2         
126        7          2         
126        8          2         
126        9          2         
126        10         2         
126        11         2         
126        12         2         
126        13         2         
126        14         2         
126        15         2         
126        16         2         
126        17         2         
126        18         2         
126        19         2         
126        20         2         
126        21         2         
126        22         2         
126        23         2         
126        24         2         
126        25         2         
126        26         2         
126        27         2         
126        28         2         
126        29         2         
126        30         2         
126        31         2         
126        32         2         
126        33         2         
126        34         2         
126        35         2         
126        36         2         
126        37         2         
126        38         2         
126        39         2         
126        40         2         
126        41         2         
126        42         2         
126        43         2         
126        44         2         
126        45         2         
126        46         2         
126        47         2         
126        48         2         
126        49         2         
126        50         2         
126        51         2         
126        52         2         
126        53         2         
126        54         2         
126        55         2         
126        56         2         
126        57         2         
126        58         2         
126        59         2         
126        60         2         
126        61         2         
126        62         2         
126        63         2         
126        64         2         
126        65         2         
126        66         2         
126        67         2         
126        68         2         
126        69         2         
126        70         2         
126        71         2         
126        72         2         
126        73         2         
126        74         2         
126        75         2         
126        76         2         
126        77         2         
126        78         2         
126        79         2         
126        80         2         
126        81         2         
126        82         2         
126        83         2         
126        84         2         
126        85         2         
126        86         2         
126        87         2         
126        88         2         
126        89         2         
126        90         2         
126        91         2         
126        92         2         
126        93         2         
126        94         2         
126        95         2         
126        96         2         
126        97         2         
126        98         2         
126        99         2         
126        TotalExcRef 200       
127        0          2         
127        1          2         
127        2          2         
127        3          2         
127        4          2         
127        5          2         
127        6          2         
127        7          2         
127        8          2         
127        9          2         
127        10         2         
127        11         2         
127        12         2         
127        13         2         
127        14         2         
127        15         2         
127        16         2         
127        17         2         
127        18         2         
127        19         2         
127        20         2         
127        21         2         
127        22         2         
127        23         2         
127        24         2         
127        25         2         
127        26         2         
127        27         2         
127        28         2         
127        29         2         
127        30         2         
127        31         2         
127        32         2         
127        33         2         
127        34         2         
127        35         2         
127        36         2         
127        37         2         
127        38         2         
127        39         2         
127        40         2         
127        41         2         
127        42         2         
127        43         2         
127        44         2         
127        45         2         
127        46         2         
127        47         2         
127        48         2         
127        49         2         
127        50         2         
127        51         2         
127        52         2         
127        53         2         
127        54         2         
127        55         2         
127        56         2         
127        57         2         
127        58         2         
127        59         2         
127        60         2         
127        61         2         
127        62         2         
127        63         2         
127        64         2         
127        65         2         
127        66         2         
127        67         2         
127        68         2         
127        69         2         
127        70         2         
127        71         2         
127        72         2         
127        73         2         
127        74         2         
127        75         2         
127        76         2         
127        77         2         
127        78         2         
127        79         2         
127        80         2         
127        81         2         
127        82         2         
127        83         2         
127        84         2         
127        85         2         
127        86         2         
127        87         2         
127        88         2         
127        89         2         
127        90         2         
127        91         2         
127        92         2         
127        93         2         
127        94         2         
127        95         2         
127        96         2         
127        97         2         
127        98         2         
127        99         2         
127        TotalExcRef 200       
128        0          2         
128        1          2         
128        2          2         
128        3          2         
128        4          2         
128        5          2         
128        6          2         
128        7          2         
128        8          2         
128        9          2         
128        10         2         
128        11         2         
128        12         2         
128        13         2         
128        14         2         
128        15         2         
128        16         2         
128        17         2         
128        18         2         
128        19         2         
128        20         2         
128        21         2         
128        22         2         
128        23         2         
128        24         2         
128        25         2         
128        26         2         
128        27         2         
128        28         2         
128        29         2         
128        30         2         
128        31         2         
128        32         2         
128        33         2         
128        34         2         
128        35         2         
128        36         2         
128        37         2         
128        38         2         
128        39         2         
128        40         2         
128        41         2         
128        42         2         
128        43         2         
128        44         2         
128        45         2         
128        46         2         
128        47         2         
128        48         2         
128        49         2         
128        50         2         
128        51         2         
128        52         2         
128        53         2         
128        54         2         
128        55         2         
128        56         2         
128        57         2         
128        58         2         
128        59         2         
128        60         2         
128        61         2         
128        62         2         
128        63         2         
128        64         2         
128        65         2         
128        66         2         
128        67         2         
128        68         2         
128        69         2         
128        70         2         
128        71         2         
128        72         2         
128        73         2         
128        74         2         
128        75         2         
128        76         2         
128        77         2         
128        78         2         
128        79         2         
128        80         2         
128        81         2         
128        82         2         
128        83         2         
128        84         2         
128        85         2         
128        86         2         
128        87         2         
128        88         2         
128        89         2         
128        90         2         
128        91         2         
128        92         2         
128        93         2         
128        94         2         
128        95         2         
128        96         2         
128        97         2         
128        98         2         
128        99         2         
128        TotalExcRef 200       
129        0          2         
129        1          2         
129        2          2         
129        3          2         
129        4          2         
129        5          2         
129        6          2         
129        7          2         
129        8          2         
129        9          2         
129        10         2         
129        11         2         
129        12         2         
129        13         2         
129        14         2         
129        15         2         
129        16         2         
129        17         2         
129        18         2         
129        19         2         
129        20         2         
129        21         2         
129        22         2         
129        23         2         
129        24         2         
129        25         2         
129        26         2         
129        27         2         
129        28         2         
129        29         2         
129        30         2         
129        31         2         
129        32         2         
129        33         2         
129        34         2         
129        35         2         
129        36         2         
129        37         2         
129        38         2         
129        39         2         
129        40         2         
129        41         2         
129        42         2         
129        43         2         
129        44         2         
129        45         2         
129        46         2         
129        47         2         
129        48         2         
129        49         2         
129        50         2         
129        51         2         
129        52         2         
129        53         2         
129        54         2         
129        55         2         
129        56         2         
129        57         2         
129        58         2         
129        59         2         
129        60         2         
129        61         2         
129        62         2         
129        63         2         
129        64         2         
129        65         2         
129        66         2         
129        67         2         
129        68         2         
129        69         2         
129        70         2         
129        71         2         
129        72         2         
129        73         2         
129        74         2         
129        75         2         
129        76         2         
129        77         2         
129        78         2         
129        79         2         
129        80         2         
129        81         2         
129        82         2         
129        83         2         
129        84         2         
129        85         2         
129        86         2         
129        87         2         
129        88         2         
129        89         2         
129        90         2         
129        91         2         
129        92         2         
129        93         2         
129        94         2         
129        95         2         
129        96         2         
129        97         2         
129        98         2         
129        99         2         
129        TotalExcRef 200       
130        0          2         
130        1          2         
130        2          2         
130        3          2         
130        4          2         
130        5          2         
130        6          2         
130        7          2         
130        8          2         
130        9          2         
130        10         2         
130        11         2         
130        12         2         
130        13         2         
130        14         2         
130        15         2         
130        16         2         
130        17         2         
130        18         2         
130        19         2         
130        20         2         
130        21         2         
130        22         2         
130        23         2         
130        24         2         
130        25         2         
130        26         2         
130        27         2         
130        28         2         
130        29         2         
130        30         2         
130        31         2         
130        32         2         
130        33         2         
130        34         2         
130        35         2         
130        36         2         
130        37         2         
130        38         2         
130        39         2         
130        40         2         
130        41         2         
130        42         2         
130        43         2         
130        44         2         
130        45         2         
130        46         2         
130        47         2         
130        48         2         
130        49         2         
130        50         2         
130        51         2         
130        52         2         
130        53         2         
130        54         2         
130        55         2         
130        56         2         
130        57         2         
130        58         2         
130        59         2         
130        60         2         
130        61         2         
130        62         2         
130        63         2         
130        64         2         
130        65         2         
130        66         2         
130        67         2         
130        68         2         
130        69         2         
130        70         2         
130        71         2         
130        72         2         
130        73         2         
130        74         2         
130        75         2         
130        76         2         
130        77         2         
130        78         2         
130        79         2         
130        80         2         
130        81         2         
130        82         2         
130        83         2         
130        84         2         
130        85         2         
130        86         2         
130        87         2         
130        88         2         
130        89         2         
130        90         2         
130        91         2         
130        92         2         
130        93         2         
130        94         2         
130        95         2         
130        96         2         
130        97         2         
130        98         2         
130        99         2         
130        TotalExcRef 200       
131        0          2         
131        1          2         
131        2          2         
131        3          2         
131        4          2         
131        5          2         
131        6          2         
131        7          2         
131        8          2         
131        9          2         
131        10         2         
131        11         2         
131        12         2         
131        13         2         
131        14         2         
131        15         2         
131        16         2         
131        17         2         
131        18         2         
131        19         2         
131        20         2         
131        21         2         
131        22         2         
131        23         2         
131        24         2         
