Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
2          0          4         
2          1          4         
2          2          4         
2          3          4         
2          4          4         
2          5          4         
2          6          4         
2          7          4         
2          8          4         
2          9          4         
2          10         4         
2          11         4         
2          12         4         
2          13         4         
2          14         4         
2          15         4         
2          16         4         
2          17         4         
2          18         4         
2          19         4         
2          TotalExcRef 80        
3          0          4         
3          1          4         
3          2          4         
3          3          4         
3          4          4         
3          5          4         
3          6          4         
3          7          4         
3          8          4         
3          9          4         
3          10         4         
3          11         4         
3          12         4         
3          13         4         
3          14         4         
3          15         4         
3          16         4         
3          17         4         
3          18         4         
3          19         4         
3          TotalExcRef 80        
5          0          2         
5          1          2         
5          2          2         
5          3          2         
5          4          2         
5          5          2         
5          6          2         
5          7          2         
5          8          2         
5          9          2         
5          10         2         
5          11         2         
5          12         2         
5          13         2         
5          14         2         
5          15         2         
5          16         2         
5          17         2         
5          18         2         
5          19         2         
5          TotalExcRef 40        
6          0          2         
6          1          2         
6          2          2         
6          3          2         
6          4          2         
6          5          2         
6          6          2         
6          7          2         
6          8          2         
6          9          2         
6          10         2         
6          11         2         
6          12         2         
6          13         2         
6          14         2         
6          15         2         
6          16         2         
6          17         2         
6          18         2         
6          19         2         
6          TotalExcRef 40        
7          0          2         
7          1          2         
7          2          2         
7          3          2         
7          4          2         
7          5          2         
7          6          2         
7          7          2         
7          8          2         
7          9          2         
7          10         2         
7          11         2         
7          12         2         
7          13         2         
7          14         2         
7          15         2         
7          16         2         
7          17         2         
7          18         2         
7          19         2         
7          TotalExcRef 40        
8          0          2         
8          1          2         
8          2          2         
8          3          2         
8          4          2         
8          5          2         
8          6          2         
8          7          2         
8          8          2         
8          9          2         
8          10         2         
8          11         2         
8          12         2         
8          13         2         
8          14         2         
8          15         2         
8          16         2         
8          17         2         
8          18         2         
8          19         2         
8          TotalExcRef 40        
9          0          2         
9          1          2         
9          2          2         
9          3          2         
9          4          2         
9          5          2         
9          6          2         
9          7          2         
9          8          2         
9          9          2         
9          10         2         
9          11         2         
9          12         2         
9          13         2         
9          14         2         
9          15         2         
9          16         2         
9          17         2         
9          18         2         
9          19         2         
9          TotalExcRef 40        
10         0          2         
10         1          2         
10         2          2         
10         3          2         
10         4          2         
10         5          2         
10         6          2         
10         7          2         
10         8          2         
10         9          2         
10         10         2         
10         11         2         
10         12         2         
10         13         2         
10         14         2         
10         15         2         
10         16         2         
10         17         2         
10         18         2         
10         19         2         
10         TotalExcRef 40        
11         0          2         
11         1          2         
11         2          2         
11         3          2         
11         4          2         
11         5          2         
11         6          2         
11         7          2         
11         8          2         
11         9          2         
11         10         2         
11         11         2         
11         12         2         
11         13         2         
11         14         2         
11         15         2         
11         16         2         
11         17         2         
11         18         2         
11         19         2         
11         TotalExcRef 40        
12         0          2         
12         1          2         
12         2          2         
12         3          2         
12         4          2         
12         5          2         
12         6          2         
12         7          2         
12         8          2         
12         9          2         
12         10         2         
12         11         2         
12         12         2         
12         13         2         
12         14         2         
12         15         2         
12         16         2         
12         17         2         
12         18         2         
12         19         2         
12         TotalExcRef 40        
13         0          2         
13         1          2         
13         2          2         
13         3          2         
13         4          2         
13         5          2         
13         6          2         
13         7          2         
13         8          2         
13         9          2         
13         10         2         
13         11         2         
13         12         2         
13         13         2         
13         14         2         
13         15         2         
13         16         2         
13         17         2         
13         18         2         
13         19         2         
13         TotalExcRef 40        
14         0          2         
14         1          2         
14         2          2         
14         3          2         
14         4          2         
14         5          2         
14         6          2         
14         7          2         
14         8          2         
14         9          2         
14         10         2         
14         11         2         
14         12         2         
14         13         2         
14         14         2         
14         15         2         
14         16         2         
14         17         2         
14         18         2         
14         19         2         
14         TotalExcRef 40        
15         0          2         
15         1          2         
15         2          2         
15         3          2         
15         4          2         
15         5          2         
15         6          2         
15         7          2         
15         8          2         
15         9          2         
15         10         2         
15         11         2         
15         12         2         
15         13         2         
15         14         2         
15         15         2         
15         16         2         
15         17         2         
15         18         2         
15         19         2         
15         TotalExcRef 40        
16         0          2         
16         1          2         
16         2          2         
16         3          2         
16         4          2         
16         5          2         
16         6          2         
16         7          2         
16         8          2         
16         9          2         
16         10         2         
16         11         2         
16         12         2         
16         13         2         
16         14         2         
16         15         2         
16         16         2         
16         17         2         
16         18         2         
16         19         2         
16         TotalExcRef 40        
17         0          1         
17         1          1         
17         2          1         
17         3          1         
17         4          1         
17         5          1         
17         6          1         
17         7          1         
17         8          1         
17         9          1         
17         10         1         
17         11         1         
17         12         1         
17         13         1         
17         14         1         
17         15         1         
17         16         1         
17         17         1         
17         18         1         
17         19         1         
17         TotalExcRef 20        
18         0          1         
18         1          1         
18         2          1         
18         3          1         
18         4          1         
18         5          1         
18         6          1         
18         7          1         
18         8          1         
18         9          1         
18         10         1         
18         11         1         
18         12         1         
18         13         1         
18         14         1         
18         15         1         
18         16         1         
18         17         1         
18         18         1         
18         19         1         
18         TotalExcRef 20        
20         0          1         
20         1          1         
20         2          1         
20         3          1         
20         4          1         
20         5          1         
20         6          1         
20         7          1         
20         8          1         
20         9          1         
20         10         1         
20         11         1         
20         12         1         
20         13         1         
20         14         1         
20         15         1         
20         16         1         
20         17         1         
20         18         1         
20         19         1         
20         TotalExcRef 20        
21         0          1         
21         1          1         
21         2          1         
21         3          1         
21         4          1         
21         5          1         
21         6          1         
21         7          1         
21         8          1         
21         9          1         
21         10         1         
21         11         1         
21         12         1         
21         13         1         
21         14         1         
21         15         1         
21         16         1         
21         17         1         
21         18         1         
21         19         1         
21         TotalExcRef 20        
22         0          1         
22         1          1         
22         2          1         
22         3          1         
22         4          1         
22         5          1         
22         6          1         
22         7          1         
22         8          1         
22         9          1         
22         10         1         
22         11         1         
22         12         1         
22         13         1         
22         14         1         
22         15         1         
22         16         1         
22         17         1         
22         18         1         
22         19         1         
22         TotalExcRef 20        
23         0          1         
23         1          1         
23         2          1         
23         3          1         
23         4          1         
23         5          1         
23         6          1         
23         7          1         
