Contains data to explore the number of task required for saturation
Task Number Exploration (TNE)
Number Task : 1 2 5 10 25 50 100 
111 perturbation point
N Execution Enactor
PONE : Numerical Perturbator
Each task is an arrays of 100
Seed used for generate task is 23
#Tasks     IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #CallRef   %Success                   
1          0          84         0          0          7056               84,00              84             1,00                     84         84         -------------------- 100,00
2          0          130        0          0          9172               70,55              130            1,00                     130        130        -------------------- 100,00
5          0          266        0          0          15426              57,99              266            1,00                     266        266        -------------------- 100,00
10         0          564        0          0          33360              59,15              564            1,00                     564        564        -------------------- 100,00
25         0          1284       0          0          77276              60,18              1284           1,00                     1284       1284       -------------------- 100,00
50         0          2614       0          0          164598             62,97              2614           1,00                     2614       2614       -------------------- 100,00
100        0          5228       0          0          322068             61,60              5228           1,00                     5228       5228       -------------------- 100,00
1          1          148        0          0          21904              148,00             148            1,00                     148        148        -------------------- 100,00
2          1          217        0          0          26665              122,88             217            1,00                     217        217        -------------------- 100,00
5          1          456        0          0          45954              100,78             456            1,00                     456        456        -------------------- 100,00
10         1          974        0          0          100052             102,72             974            1,00                     974        974        -------------------- 100,00
25         1          2217       0          0          233307             105,24             2217           1,00                     2217       2217       -------------------- 100,00
50         1          4590       0          0          519756             113,24             4590           1,00                     4590       4590       -------------------- 100,00
100        1          9218       0          0          1032056            111,96             9218           1,00                     9218       9218       -------------------- 100,00
1          2          148        0          0          21904              148,00             148            1,00                     148        148        -------------------- 100,00
2          2          217        0          0          26665              122,88             217            1,00                     217        217        -------------------- 100,00
5          2          456        0          0          45954              100,78             456            1,00                     456        456        -------------------- 100,00
10         2          974        0          0          100052             102,72             974            1,00                     974        974        -------------------- 100,00
25         2          2217       0          0          233307             105,24             2217           1,00                     2217       2217       -------------------- 100,00
50         2          4590       0          0          519756             113,24             4590           1,00                     4590       4590       -------------------- 100,00
100        2          9218       0          0          1032056            111,96             9218           1,00                     9218       9218       -------------------- 100,00
