aggregate data per location for Perturbator = NEGB
Exploration Boolean Negation
NEGB : negation of boolean value.
20 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
26 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
2          1644       376        0          211992             104,95             2020           1,00                     2020       2020       101.0             20         ----------------- 81,39    
5          218        376        0          17308              29,14              594            1,00                     594        594        29.7              20         -------- 36,70             
6          1644       376        0          217581             107,71             2020           1,00                     2020       2020       101.0             20         ----------------- 81,39    
11         44         376        0          5907               14,06              420            1,00                     420        420        21.0              20         --- 10,48                  
12         522        1498       0          229937             113,83             2020           1,00                     2020       2020       101.0             20         ------ 25,84               
13         522        1498       0          229937             113,83             2020           1,00                     2020       2020       101.0             20         ------ 25,84               
16         20         0          0          20                 1,00               20             1,00                     20         20         1.0               20         -------------------- 100,00
19         460        1018       180        124529             75,11              1658           1,00                     1658       1658       82.9              20         ------ 27,74               
22         0          160        20         900                5,00               180            1,00                     180        180        9.0               20          0,00                      
23         2          18         0          22                 1,10               20             1,00                     20         20         1.0               20         -- 10,00                   
28         12         1626       0          91547              55,89              1638           1,00                     1638       1638       81.9              20         - 0,73                     
33         97         1129       0          78479              64,01              1226           1,00                     1226       1226       61.3              20         -- 7,91                    
37         203        1817       12         234101             115,21             2032           1,00                     2032       2032       101.6             20         -- 9,99                    
41         522        1498       0          229937             113,83             2020           1,00                     2020       2020       101.0             20         ------ 25,84               
48         404        8          0          8670               21,04              412            1,00                     412        412        20.6              20         -------------------- 98,06 
53         16         396        0          8754               21,25              412            1,00                     412        412        20.6              20         - 3,88                     
54         34         366        0          4423               11,06              400            1,00                     400        400        20.0              20         -- 8,50                    
58         0          12         0          180                15,00              12             1,00                     12         12         0.6               20          0,00                      
62         0          12         0          25                 2,08               12             1,00                     12         12         0.6               20          0,00                      
83         21         159        20         1100               5,50               200            1,00                     200        200        10.0              20         --- 10,50                  
87         1549       71         180        146700             81,50              1800           1,00                     1800       1800       90.0              20         ------------------ 86,06   
93         1216       4          400        115397             71,23              1620           1,00                     1620       1620       81.0              20         ---------------- 75,06     
97         1216       4          0          74420              61,00              1220           1,00                     1220       1220       61.0              20         -------------------- 99,67 
102        1632       12         0          135532             82,44              1644           1,00                     1644       1644       82.2              20         -------------------- 99,27 
107        1632       12         0          135784             82,59              1644           1,00                     1644       1644       82.2              20         -------------------- 99,27 
114        1632       12         0          135350             82,33              1644           1,00                     1644       1644       82.2              20         -------------------- 99,27 
