aggregate data per location for Magnitude = 5
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
89 perturbation point
PM : Numerical Perturbator
20 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
0          744        146        1102       147990             74,29              1992           1,00                     1992       1992       99.6              20         -------- 37,35             
1          1189       164        639        173763             87,23              1992           1,00                     1992       1992       99.6              20         ------------ 59,69         
3          174        139        278        14047              23,77              591            1,00                     591        591        29.55             20         ------ 29,44               
4          167        170        254        14065              23,80              591            1,00                     591        591        29.55             20         ------ 28,26               
7          37         158        222        5396               12,94              417            1,00                     417        417        20.85             20         -- 8,87                    
8          62         275        80         6056               14,52              417            1,00                     417        417        20.85             20         --- 14,87                  
9          42         151        224        5497               13,18              417            1,00                     417        417        20.85             20         --- 10,07                  
10         39         168        210        5482               13,15              417            1,00                     417        417        20.85             20         -- 9,35                    
14         2          18         0          20                 1,00               20             1,00                     20         20         1.0               20         -- 10,00                   
15         0          20         0          20                 1,00               20             1,00                     20         20         1.0               20          0,00                      
17         1336       140        180        129727             78,34              1656           1,00                     1656       1656       82.8              20         ----------------- 80,68    
18         1476       0          180        130625             78,88              1656           1,00                     1656       1656       82.8              20         ------------------ 89,13   
20         53         127        0          1644               9,13               180            1,00                     180        180        9.0               20         ------ 29,44               
21         160        0          20         1620               9,00               180            1,00                     180        180        9.0               20         ------------------ 88,89   
24         448        277        911        94703              57,89              1636           1,00                     1636       1636       81.8              20         ------ 27,38               
25         452        277        907        105749             64,64              1636           1,00                     1636       1636       81.8              20         ------ 27,63               
26         1236       400        0          134593             82,27              1636           1,00                     1636       1636       81.8              20         ---------------- 75,55     
27         1111       525        0          130165             79,56              1636           1,00                     1636       1636       81.8              20         -------------- 67,91       
29         108        429        689        53255              43,44              1226           1,00                     1226       1226       61.3              20         -- 8,81                    
30         108        429        689        53255              43,44              1226           1,00                     1226       1226       61.3              20         -- 8,81                    
31         108        429        689        53255              43,44              1226           1,00                     1226       1226       61.3              20         -- 8,81                    
32         0          547        679        45521              37,13              1226           1,00                     1226       1226       61.3              20          0,00                      
34         168        242        0          6534               15,94              410            1,00                     410        410        20.5              20         --------- 40,98            
35         1431       571        0          217537             108,66             2002           1,00                     2002       2002       100.1             20         --------------- 71,48      
36         1992       0          10         203097             101,45             2002           1,00                     2002       2002       100.1             20         -------------------- 99,50 
