1 2 5 10 25 50 
#Task      #Sosie     #PMutant  
1          9          0         
2          9          0         
5          8          2         
10         6          8         
25         6          13        
50         6          14        
Index of sosies : 74 75 76 77 78 79 
List of partial mutant : 
LocMutant  #TaskFailed  ListOfIndexFailed 
14         31           0 1 2 3 4 6 8 9 11 12 14 16 19 20 22 24 26 27 30 31 32 33 34 36 38 39 41 42 44 46 49 
57         43           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
81         6            9 10 14 39 40 44 
85         8            7 8 13 16 37 38 43 46 
55         43           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
84         26           0 1 2 3 4 5 7 10 12 13 15 16 17 30 31 32 33 34 35 37 40 42 43 45 46 47 
15         49           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
36         43           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
80         25           2 4 5 6 7 8 10 13 15 16 18 19 28 32 34 35 36 37 38 40 43 45 46 48 49 
60         38           0 1 2 3 4 5 7 8 10 11 12 13 14 15 16 17 18 19 21 26 30 31 32 33 34 35 37 38 40 41 42 43 44 45 46 47 48 49 
61         41           0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 34 35 37 38 39 40 41 42 43 44 45 46 47 48 49 
35         49           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
56         43           0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
59         41           0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 26 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
