Loc P     Succ Pull
0   0,00  0    12  
1   0,09  1    11  
2   0,00  0    19  
3   0,00  0    26  
4   NaN   0    0   
5   0,05  1    19  
6   0,00  0    26  
7   0,00  0    17  
8   0,00  0    9   
9   0,00  0    23  
10  0,00  0    11  
11  0,00  0    14  
12  NaN   0    0   
13  0,00  0    16  
14  0,00  0    12  
15  0,00  0    18  
16  NaN   0    0   
17  0,07  1    14  
18  0,00  0    12  
19  NaN   0    0   
20  NaN   0    0   
21  0,00  0    16  
22  0,00  0    10  
23  0,00  0    13  
24  0,00  0    11  
25  NaN   0    0   
26  NaN   0    0   
27  0,00  0    13  
28  NaN   0    0   
29  NaN   0    0   
30  0,00  0    12  
31  0,00  0    12  
32  NaN   0    0   
33  NaN   0    0   
34  0,00  0    16  
35  0,00  0    8   
36  0,00  0    15  
37  0,00  0    15  
38  0,00  0    10  
39  0,00  0    15  
40  0,00  0    12  
41  0,00  0    12  
42  0,25  1    4   
43  0,00  0    18  
44  0,00  0    14  
45  0,00  0    21  
46  0,00  0    11  
47  0,00  0    11  
48  0,00  0    15  
49  0,10  1    10  
50  0,00  0    25  
51  0,06  1    18  
52  0,00  0    19  
53  0,00  0    14  
54  0,00  0    18  
55  0,00  0    12  
56  0,00  0    12  
57  NaN   0    0   
58  NaN   0    0   
59  NaN   0    0   
60  NaN   0    0   
61  NaN   0    0   
62  0,00  0    15  
63  0,00  0    12  
64  0,00  0    15  
65  NaN   0    0   
66  0,00  0    12  
67  0,00  0    14  
68  0,00  0    10  
69  0,00  0    15  
70  NaN   0    0   
71  0,00  0    19  
72  NaN   0    0   
73  NaN   0    0   
74  0,00  0    12  
75  0,00  0    21  
76  0,00  0    19  
77  0,00  0    16  
78  NaN   0    0   
79  0,00  0    18  
80  0,00  0    21  
81  0,00  0    23  
82  0,00  0    24  
83  0,00  0    28  
84  0,00  0    15  
85  0,00  0    17  
86  0,00  0    18  
87  0,00  0    19  
88  0,00  0    13  
89  0,00  0    26  
90  0,00  0    23  
91  0,00  0    15  
92  0,00  0    10  
93  0,00  0    17  
94  0,00  0    2   
95  0,00  0    14  
96  0,00  0    15  
97  0,00  0    14  
98  0,00  0    16  
99  0,00  0    11  
100 0,00  0    26  
101 0,00  0    13  
102 0,06  1    18  
103 0,00  0    14  
104 0,00  0    14  
105 0,00  0    18  
106 0,00  0    8   
107 0,00  0    20  
108 NaN   0    0   
109 NaN   0    0   
110 NaN   0    0   
111 NaN   0    0   
112 NaN   0    0   
113 NaN   0    0   
114 NaN   0    0   
115 NaN   0    0   
116 NaN   0    0   
117 NaN   0    0   
118 NaN   0    0   
119 NaN   0    0   
120 NaN   0    0   
121 NaN   0    0   
122 NaN   0    0   
123 NaN   0    0   
124 NaN   0    0   
125 NaN   0    0   
126 NaN   0    0   
127 NaN   0    0   
128 0,00  0    10  
129 0,00  0    17  
130 0,00  0    36  
131 0,00  0    12  
132 0,00  0    17  
133 0,00  0    10  
134 0,00  0    29  
135 0,00  0    3   
136 0,00  0    13  
137 0,00  0    11  
138 0,00  0    16  
139 0,00  0    10  
140 NaN   0    0   
141 0,00  0    19  
142 NaN   0    0   
143 0,00  0    12  
144 0,00  0    19  
145 0,00  0    16  
146 0,00  0    1   
147 0,00  0    1   
148 0,00  0    5   
149 0,00  0    1   
150 0,00  0    3   
151 0,00  0    10  
152 0,00  0    15  
153 0,00  0    15  
154 0,00  0    14  
155 0,00  0    7   
156 0,00  0    26  
157 0,00  0    8   
158 NaN   0    0   
159 0,00  0    15  
160 0,00  0    11  
161 0,00  0    19  
162 0,00  0    8   
163 0,00  0    16  
164 NaN   0    0   
165 NaN   0    0   
166 0,00  0    16  
167 0,00  0    12  
168 0,00  0    12  
169 0,00  0    16  
170 0,00  0    10  
171 0,00  0    7   
172 NaN   0    0   
173 0,00  0    19  
174 0,00  0    16  
175 0,00  0    20  
176 0,00  0    21  
177 0,00  0    9   
178 0,00  0    14  
179 0,00  0    18  
180 0,00  0    16  
181 0,00  0    25  
182 0,00  0    22  
183 0,00  0    17  
184 0,09  1    11  
185 0,00  0    10  
186 0,00  0    22  
187 0,00  0    19  
188 0,00  0    10  
189 0,00  0    16  
190 NaN   0    0   
191 NaN   0    0   
192 0,00  0    16  
193 0,05  1    21  
194 0,00  0    17  
195 0,00  0    24  
196 0,00  0    20  
197 0,00  0    13  
198 0,00  0    13  
199 0,00  0    15  
200 0,00  0    12  
201 0,00  0    22  
202 0,00  0    22  
203 0,00  0    12  
204 0,00  0    15  
205 0,00  0    11  
206 0,00  0    11  
207 0,00  0    8   
208 0,00  0    16  
209 0,09  1    11  
210 0,00  0    16  
211 0,00  0    27  
212 0,00  0    12  
213 0,00  0    22  
214 0,00  0    19  
215 0,00  0    23  
216 0,00  0    14  
217 NaN   0    0   
218 NaN   0    0   
219 0,00  0    5   
220 0,00  0    14  
221 0,06  1    17  
222 0,00  0    12  
223 0,00  0    13  
224 0,00  0    10  
225 0,00  0    8   
226 0,00  0    10  
227 0,00  0    18  
228 0,00  0    27  
229 0,00  0    17  
230 0,00  0    11  
231 NaN   0    0   
232 NaN   0    0   
233 NaN   0    0   
234 0,00  0    24  
235 0,00  0    13  
236 0,00  0    23  
237 0,00  0    6   
238 0,08  1    12  
239 0,00  0    12  
240 0,00  0    15  
241 0,00  0    21  
242 0,00  0    14  
243 0,00  0    18  
244 0,00  0    10  
245 NaN   0    0   
246 NaN   0    0   
247 NaN   0    0   
248 NaN   0    0   
249 NaN   0    0   
250 NaN   0    0   
251 NaN   0    0   
252 NaN   0    0   
253 NaN   0    0   
254 0,00  0    12  
255 NaN   0    0   
256 NaN   0    0   
257 NaN   0    0   
258 0,09  1    11  
259 0,00  0    10  
260 0,06  1    17  
261 0,00  0    11  
262 NaN   0    0   
263 NaN   0    0   
264 0,00  0    21  
265 0,00  0    11  
266 0,00  0    23  
267 0,00  0    20  
268 0,00  0    8   
269 0,00  0    8   
270 NaN   0    0   
271 NaN   0    0   
272 0,00  0    16  
273 0,00  0    20  
274 0,00  0    14  
275 0,00  0    11  
276 0,00  0    18  
277 0,00  0    22  
278 0,00  0    16  
279 0,00  0    12  
280 0,00  0    17  
281 0,00  0    17  
282 0,05  1    19  
283 0,00  0    13  
284 0,00  0    10  
285 0,00  0    14  
286 0,00  0    13  
287 0,00  0    7   
288 0,00  0    20  
289 0,00  0    12  
290 0,00  0    21  
291 0,00  0    15  
292 0,00  0    17  
293 0,00  0    15  
294 0,00  0    12  
295 0,00  0    16  
296 0,00  0    16  
297 0,00  0    11  
298 0,00  0    37  
299 0,00  0    7   
300 0,00  0    10  
301 0,00  0    17  
302 0,00  0    15  
303 0,00  0    8   
304 0,00  0    20  
305 0,00  0    11  
306 0,00  0    20  
307 0,00  0    18  
308 0,00  0    15  
309 0,08  1    13  
310 0,06  1    18  
311 0,00  0    21  
312 0,00  0    8   
313 0,00  0    13  
314 0,00  0    15  
315 0,00  0    9   
316 0,00  0    12  
317 0,00  0    21  
318 0,00  0    20  
319 NaN   0    0   
320 NaN   0    0   
321 NaN   0    0   
322 0,00  0    22  
323 0,00  0    16  
324 0,00  0    14  
325 0,00  0    10  
326 0,00  0    18  
327 0,00  0    22  
328 0,00  0    11  
329 0,00  0    11  
330 NaN   0    0   
331 NaN   0    0   
332 0,00  0    21  
333 0,00  0    12  
334 0,00  0    23  
335 NaN   0    0   
336 NaN   0    0   
337 0,00  0    11  
338 0,00  0    13  
339 0,00  0    23  
340 0,00  0    15  
341 0,00  0    15  
342 0,00  0    13  
343 NaN   0    0   
344 0,00  0    22  
345 0,00  0    8   
346 0,00  0    15  
347 0,00  0    22  
348 0,00  0    19  
349 0,00  0    23  
350 0,00  0    20  
351 0,00  0    11  
352 0,00  0    8   
353 0,00  0    7   
354 0,00  0    18  
355 0,00  0    21  
356 0,00  0    12  
357 0,00  0    9   
358 0,00  0    26  
359 0,00  0    21  
360 NaN   0    0   
361 NaN   0    0   
362 0,00  0    12  
363 0,00  0    14  
364 0,00  0    10  
365 NaN   0    0   
366 0,07  1    14  
367 0,00  0    17  
368 0,00  0    14  
369 0,00  0    15  
370 0,00  0    9   
371 0,00  0    19  
372 0,00  0    11  
373 0,06  1    17  
374 0,00  0    19  
375 NaN   0    0   
376 0,00  0    24  
377 0,00  0    14  
378 NaN   0    0   
379 NaN   0    0   
380 0,00  0    10  
381 0,00  0    12  
382 0,00  0    16  
383 0,00  0    12  
384 0,00  0    12  
385 0,00  0    11  
386 0,00  0    4   
387 0,00  0    10  
388 0,00  0    15  
389 0,00  0    16  
390 0,00  0    12  
391 0,00  0    21  
392 0,11  1    9   
393 0,00  0    18  
394 0,03  1    32  
395 0,00  0    11  
396 0,00  0    17  
397 0,00  0    33  
398 0,00  0    10  
399 0,06  1    17  
400 0,00  0    15  
401 NaN   0    0   
402 0,00  0    15  
403 0,00  0    13  
404 0,00  0    21  
405 0,00  0    27  
406 0,00  0    9   
407 0,00  0    9   
408 0,05  1    21  
409 0,04  1    28  
410 0,00  0    9   
411 0,00  0    11  
412 0,00  0    11  
413 0,00  0    18  
414 0,00  0    51  
415 0,00  0    10  
416 0,00  0    13  
417 0,00  0    14  
418 0,00  0    11  
419 0,00  0    18  
420 0,00  0    14  
421 0,00  0    16  
422 0,00  0    18  
423 0,00  0    22  
424 0,00  0    20  
425 0,00  0    27  
426 0,00  0    10  
427 0,00  0    10  
428 0,00  0    19  
429 0,00  0    22  
430 0,00  0    12  
431 0,00  0    21  
432 0,00  0    23  
433 0,00  0    23  
434 0,00  0    16  
435 0,00  0    13  
436 0,00  0    9   
437 0,00  0    9   
438 NaN   0    0   
439 NaN   0    0   
440 0,00  0    9   
441 0,00  0    18  
442 NaN   0    0   
443 0,00  0    21  
444 0,00  0    8   
445 NaN   0    0   
446 0,00  0    11  
447 0,00  0    14  
448 NaN   0    0   
449 NaN   0    0   
450 0,00  0    7   
451 0,07  1    15  
