contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
1           0          11         0          3          161        13             ---------------- 78,57     
5           0          11         0          3          159        14             ---------------- 78,57     
10          0          11         0          3          160        14             ---------------- 78,57     
20          0          11         0          3          164        14             ---------------- 78,57     
50          0          11         0          3          160        13             ---------------- 78,57     
75          0          11         0          3          163        14             ---------------- 78,57     
100         0          11         0          3          163        14             ---------------- 78,57     
1           1          207        0          0          41928      206            -------------------- 100,00
5           1          207        0          0          42282      204            -------------------- 100,00
10          1          207        0          0          42128      206            -------------------- 100,00
20          1          207        0          0          42130      202            -------------------- 100,00
50          1          207        0          0          42436      208            -------------------- 100,00
75          1          207        0          0          42000      208            -------------------- 100,00
100         1          207        0          0          42436      205            -------------------- 100,00
1           2          156        0          0          31980      156            -------------------- 100,00
5           2          156        0          0          31956      157            -------------------- 100,00
10          2          156        0          0          31676      157            -------------------- 100,00
20          2          156        0          0          32034      160            -------------------- 100,00
50          2          156        0          0          31932      156            -------------------- 100,00
75          2          156        0          0          31983      159            -------------------- 100,00
100         2          156        0          0          31827      156            -------------------- 100,00
1           4          207        0          0          42435      209            -------------------- 100,00
5           4          207        0          0          42227      205            -------------------- 100,00
10          4          207        0          0          42227      207            -------------------- 100,00
20          4          207        0          0          42483      206            -------------------- 100,00
50          4          207        0          0          42276      206            -------------------- 100,00
75          4          207        0          0          42284      203            -------------------- 100,00
100         4          109        0          98         22816      113            ----------- 52,66          
1           5          0          0          0          0          0              NaN                        
5           5          0          0          0          0          0              NaN                        
10          5          0          0          0          0          0              NaN                        
20          5          0          0          0          0          0              NaN                        
50          5          0          0          0          0          0              NaN                        
75          5          0          0          0          0          0              NaN                        
100         5          0          0          0          0          0              NaN                        
1           7          0          0          0          0          0              NaN                        
5           7          0          0          0          0          0              NaN                        
10          7          0          0          0          0          0              NaN                        
20          7          0          0          0          0          0              NaN                        
50          7          0          0          0          0          0              NaN                        
75          7          0          0          0          0          0              NaN                        
100         7          0          0          0          0          0              NaN                        
1           8          0          0          0          0          0              NaN                        
5           8          0          0          0          0          0              NaN                        
10          8          0          0          0          0          0              NaN                        
20          8          0          0          0          0          0              NaN                        
50          8          0          0          0          0          0              NaN                        
75          8          0          0          0          0          0              NaN                        
100         8          0          0          0          0          0              NaN                        
1           11         0          0          0          0          0              NaN                        
5           11         0          0          0          0          0              NaN                        
10          11         0          0          0          0          0              NaN                        
20          11         0          0          0          0          0              NaN                        
50          11         0          0          0          0          0              NaN                        
75          11         0          0          0          0          0              NaN                        
100         11         0          0          0          0          0              NaN                        
1           12         0          0          0          0          0              NaN                        
5           12         0          0          0          0          0              NaN                        
10          12         0          0          0          0          0              NaN                        
20          12         0          0          0          0          0              NaN                        
50          12         0          0          0          0          0              NaN                        
75          12         0          0          0          0          0              NaN                        
100         12         0          0          0          0          0              NaN                        
1           14         0          0          0          0          0              NaN                        
5           14         0          0          0          0          0              NaN                        
10          14         0          0          0          0          0              NaN                        
20          14         0          0          0          0          0              NaN                        
50          14         0          0          0          0          0              NaN                        
75          14         0          0          0          0          0              NaN                        
100         14         0          0          0          0          0              NaN                        
1           15         0          0          0          0          0              NaN                        
5           15         0          0          0          0          0              NaN                        
10          15         0          0          0          0          0              NaN                        
20          15         0          0          0          0          0              NaN                        
50          15         0          0          0          0          0              NaN                        
75          15         0          0          0          0          0              NaN                        
100         15         0          0          0          0          0              NaN                        
1           17         0          0          0          0          0              NaN                        
5           17         0          0          0          0          0              NaN                        
10          17         0          0          0          0          0              NaN                        
20          17         0          0          0          0          0              NaN                        
50          17         0          0          0          0          0              NaN                        
75          17         0          0          0          0          0              NaN                        
100         17         0          0          0          0          0              NaN                        
1           18         0          0          0          0          0              NaN                        
5           18         0          0          0          0          0              NaN                        
10          18         0          0          0          0          0              NaN                        
20          18         0          0          0          0          0              NaN                        
50          18         0          0          0          0          0              NaN                        
75          18         0          0          0          0          0              NaN                        
100         18         0          0          0          0          0              NaN                        
1           20         0          0          0          0          0              NaN                        
5           20         0          0          0          0          0              NaN                        
10          20         0          0          0          0          0              NaN                        
20          20         0          0          0          0          0              NaN                        
50          20         0          0          0          0          0              NaN                        
75          20         0          0          0          0          0              NaN                        
100         20         0          0          0          0          0              NaN                        
1           21         0          0          0          0          0              NaN                        
5           21         0          0          0          0          0              NaN                        
10          21         0          0          0          0          0              NaN                        
20          21         0          0          0          0          0              NaN                        
50          21         0          0          0          0          0              NaN                        
75          21         0          0          0          0          0              NaN                        
100         21         0          0          0          0          0              NaN                        
1           22         0          0          0          0          0              NaN                        
5           22         0          0          0          0          0              NaN                        
10          22         0          0          0          0          0              NaN                        
20          22         0          0          0          0          0              NaN                        
50          22         0          0          0          0          0              NaN                        
75          22         0          0          0          0          0              NaN                        
100         22         0          0          0          0          0              NaN                        
1           23         0          0          0          0          0              NaN                        
5           23         0          0          0          0          0              NaN                        
10          23         0          0          0          0          0              NaN                        
20          23         0          0          0          0          0              NaN                        
50          23         0          0          0          0          0              NaN                        
75          23         0          0          0          0          0              NaN                        
100         23         0          0          0          0          0              NaN                        
1           24         0          0          0          0          0              NaN                        
5           24         0          0          0          0          0              NaN                        
10          24         0          0          0          0          0              NaN                        
20          24         0          0          0          0          0              NaN                        
50          24         0          0          0          0          0              NaN                        
75          24         0          0          0          0          0              NaN                        
100         24         0          0          0          0          0              NaN                        
1           25         0          0          0          0          0              NaN                        
5           25         0          0          0          0          0              NaN                        
10          25         0          0          0          0          0              NaN                        
20          25         0          0          0          0          0              NaN                        
50          25         0          0          0          0          0              NaN                        
75          25         0          0          0          0          0              NaN                        
100         25         0          0          0          0          0              NaN                        
1           27         0          0          0          0          0              NaN                        
5           27         0          0          0          0          0              NaN                        
10          27         0          0          0          0          0              NaN                        
20          27         0          0          0          0          0              NaN                        
50          27         0          0          0          0          0              NaN                        
75          27         0          0          0          0          0              NaN                        
100         27         0          0          0          0          0              NaN                        
1           28         0          0          0          0          0              NaN                        
5           28         0          0          0          0          0              NaN                        
10          28         0          0          0          0          0              NaN                        
20          28         0          0          0          0          0              NaN                        
50          28         0          0          0          0          0              NaN                        
75          28         0          0          0          0          0              NaN                        
100         28         0          0          0          0          0              NaN                        
1           31         0          0          0          0          0              NaN                        
5           31         0          0          0          0          0              NaN                        
10          31         0          0          0          0          0              NaN                        
20          31         0          0          0          0          0              NaN                        
50          31         0          0          0          0          0              NaN                        
75          31         0          0          0          0          0              NaN                        
100         31         0          0          0          0          0              NaN                        
1           32         0          0          0          0          0              NaN                        
5           32         0          0          0          0          0              NaN                        
10          32         0          0          0          0          0              NaN                        
20          32         0          0          0          0          0              NaN                        
50          32         0          0          0          0          0              NaN                        
75          32         0          0          0          0          0              NaN                        
100         32         0          0          0          0          0              NaN                        
1           33         0          0          0          0          0              NaN                        
5           33         0          0          0          0          0              NaN                        
10          33         0          0          0          0          0              NaN                        
