Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          13        
0          1          0         
0          2          0         
0          TotalExcRef 13        
1          0          206       
1          1          0         
1          2          0         
1          TotalExcRef 206       
2          0          207       
2          1          0         
2          2          0         
2          TotalExcRef 207       
3          0          206       
3          1          0         
3          2          0         
3          TotalExcRef 206       
5          0          207       
5          1          0         
5          2          0         
5          TotalExcRef 207       
6          0          207       
6          1          0         
6          2          0         
6          TotalExcRef 207       
8          0          207       
8          1          0         
8          2          0         
8          TotalExcRef 207       
9          0          207       
9          1          0         
9          2          0         
9          TotalExcRef 207       
12         0          75        
12         1          0         
12         2          0         
12         TotalExcRef 75        
13         0          75        
13         1          0         
13         2          0         
13         TotalExcRef 75        
15         0          18        
15         1          0         
15         2          0         
15         TotalExcRef 18        
16         0          18        
16         1          0         
16         2          0         
16         TotalExcRef 18        
18         0          18        
18         1          0         
18         2          0         
18         TotalExcRef 18        
19         0          18        
19         1          0         
19         2          0         
19         TotalExcRef 18        
21         0          132       
21         1          0         
21         2          0         
21         TotalExcRef 132       
22         0          132       
22         1          0         
22         2          0         
22         TotalExcRef 132       
23         0          132       
23         1          0         
23         2          0         
23         TotalExcRef 132       
24         0          132       
24         1          0         
24         2          0         
24         TotalExcRef 132       
25         0          132       
25         1          0         
25         2          0         
25         TotalExcRef 132       
26         0          132       
26         1          0         
26         2          0         
26         TotalExcRef 132       
28         0          0         
28         1          0         
28         2          0         
28         TotalExcRef 0         
29         0          0         
29         1          0         
29         2          0         
29         TotalExcRef 0         
32         0          0         
32         1          0         
32         2          0         
32         TotalExcRef 0         
33         0          0         
33         1          0         
33         2          0         
33         TotalExcRef 0         
34         0          0         
34         1          0         
34         2          0         
34         TotalExcRef 0         
35         0          0         
35         1          0         
35         2          0         
35         TotalExcRef 0         
36         0          0         
36         1          0         
36         2          0         
36         TotalExcRef 0         
37         0          0         
37         1          0         
37         2          0         
37         TotalExcRef 0         
38         0          0         
38         1          0         
38         2          0         
38         TotalExcRef 0         
40         0          0         
40         1          0         
40         2          0         
40         TotalExcRef 0         
41         0          0         
41         1          0         
41         2          0         
41         TotalExcRef 0         
44         0          0         
44         1          0         
44         2          0         
44         TotalExcRef 0         
45         0          0         
45         1          0         
45         2          0         
45         TotalExcRef 0         
46         0          0         
46         1          0         
46         2          0         
46         TotalExcRef 0         
47         0          0         
47         1          0         
47         2          0         
47         TotalExcRef 0         
48         0          0         
48         1          0         
48         2          0         
48         TotalExcRef 0         
49         0          0         
49         1          0         
49         2          0         
49         TotalExcRef 0         
50         0          0         
