Bandit exploration
UCBPolicy alpha=2
TimeBudget 18 ms
21 string of 100 char
Random char generated with 23 as seed
19 perturbation points
IndexLoc        #Perturbations  #Success        #Failure        #Exception      #Call           %Success            
0               6               6               0               210             6               - 2,78              
1               3               10              0               346             10              - 2,81              
2               6               6               0               280             1542            - 2,10              
3               6               6               0               245             1542            - 2,39              
5               4               2               0               141             1024            - 1,40              
6               2               1               2               175             3               - 0,56              
7               6               6               0               140             594             - 4,11              
9               3               0               3               174             297              0,00               
10              0               3               0               242             0               NaN                 
11              0               0               0               70              0               NaN                 
13              0               0               0               105             0               NaN                 
14              3               1               0               176             183             - 0,56              
15              8               12              0               175             12              -- 6,42             
16              6               8               0               71              9               --- 10,13           
17              14              14              0               173             3598            -- 7,49             
18              14              14              0               243             3598            -- 5,45             
20              8               6               2               348             2048            - 1,69              
22              3               0               3               70              297              0,00               
24              2               5               2               68              7               -- 6,67             
